locus_tag	ftype	length_bp	gene	EC_number	COG	product
HFMIMCPM_00001	CDS	1197	intA		COG0582	Prophage integrase IntA
HFMIMCPM_00002	CDS	330				hypothetical protein
HFMIMCPM_00003	CDS	255				hypothetical protein
HFMIMCPM_00004	CDS	666				hypothetical protein
HFMIMCPM_00005	CDS	459				hypothetical protein
HFMIMCPM_00006	CDS	969				hypothetical protein
HFMIMCPM_00007	CDS	180				hypothetical protein
HFMIMCPM_00008	CDS	774				hypothetical protein
HFMIMCPM_00009	CDS	357				hypothetical protein
HFMIMCPM_00010	CDS	951				hypothetical protein
HFMIMCPM_00011	CDS	2556				hypothetical protein
HFMIMCPM_00012	CDS	402				hypothetical protein
HFMIMCPM_00013	CDS	576				hypothetical protein
HFMIMCPM_00014	CDS	612				hypothetical protein
HFMIMCPM_00015	CDS	3102				hypothetical protein
HFMIMCPM_00016	CDS	513				hypothetical protein
HFMIMCPM_00017	CDS	384				hypothetical protein
HFMIMCPM_00018	CDS	825				hypothetical protein
HFMIMCPM_00019	CDS	186				hypothetical protein
HFMIMCPM_00020	CDS	522				hypothetical protein
HFMIMCPM_00021	CDS	168				hypothetical protein
HFMIMCPM_00022	CDS	393				hypothetical protein
HFMIMCPM_00023	CDS	462				hypothetical protein
HFMIMCPM_00024	CDS	411				hypothetical protein
HFMIMCPM_00025	CDS	459				hypothetical protein
HFMIMCPM_00026	CDS	378				hypothetical protein
HFMIMCPM_00027	CDS	558				hypothetical protein
HFMIMCPM_00028	CDS	267				hypothetical protein
HFMIMCPM_00029	CDS	1329				hypothetical protein
HFMIMCPM_00030	CDS	855	clpP	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
HFMIMCPM_00031	CDS	1215				hypothetical protein
HFMIMCPM_00032	CDS	1674				hypothetical protein
HFMIMCPM_00033	CDS	330				hypothetical protein
