,Major capsid,Minor capsid,Baseplate,Major tail,Minor tail,Portal,Tail fiber,Tail shaft,Collar,HTJ,Other,Confidence
contig_2499_phanotate_7_geneCall,0.00,0.95,0.01,0.00,0.02,0.03,0.04,0.00,0.00,0.05,8.88,1.00
contig_2499_phanotate_8_geneCall,0.01,1.21,0.09,0.06,0.07,0.03,0.31,0.01,0.04,1.68,6.51,0.98
contig_2499_phanotate_9_geneCall,0.01,0.12,0.06,0.01,0.07,1.19,0.19,0.06,0.05,1.35,6.88,0.99
contig_2499_phanotate_10_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.98,1.00
contig_2499_phanotate_11_geneCall,0.06,3.01,0.05,0.05,0.06,0.13,0.11,0.04,0.01,0.10,6.37,0.98
contig_2499_phanotate_12_geneCall,0.00,0.72,0.03,0.00,0.01,1.65,0.01,0.00,0.00,0.05,7.53,0.99
contig_2499_phanotate_13_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2499_phanotate_14_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2499_phanotate_15_geneCall,0.02,0.07,0.06,0.03,0.05,1.11,0.16,0.03,0.14,1.85,6.48,0.98
contig_2499_phanotate_16_geneCall,0.15,2.30,0.81,0.04,0.39,0.18,0.27,0.07,0.06,2.50,3.23,0.97
contig_2499_phanotate_17_geneCall,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.06,0.00,9.91,1.00
contig_2499_phanotate_18_geneCall,0.01,0.15,0.17,0.00,0.01,0.01,0.02,0.01,0.03,0.11,9.48,1.00
contig_2499_phanotate_19_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2499_phanotate_20_geneCall,0.25,0.24,0.02,0.03,0.02,1.29,0.10,0.03,0.09,0.55,7.38,0.99
contig_2499_phanotate_21_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2499_phanotate_22_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.04,9.93,1.00
contig_2499_phanotate_23_geneCall,0.00,0.03,0.02,0.00,0.01,0.00,0.03,0.00,0.00,0.01,9.91,1.00
contig_2499_phanotate_24_geneCall,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,9.96,1.00
contig_2499_phanotate_25_geneCall,0.01,0.10,0.02,0.01,0.05,0.02,0.03,0.01,0.05,0.14,9.56,1.00
contig_2499_phanotate_26_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2499_phanotate_27_geneCall,0.01,0.13,0.03,0.01,0.06,0.03,0.03,0.01,0.07,0.30,9.31,1.00
contig_2499_phanotate_28_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2499_phanotate_29_geneCall,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,9.98,1.00
contig_2499_phanotate_30_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2499_phanotate_31_geneCall,0.13,0.04,0.06,0.06,0.02,0.64,0.03,0.00,0.17,0.01,8.84,1.00
contig_2499_phanotate_32_geneCall,0.25,0.24,0.02,0.03,0.02,1.29,0.10,0.03,0.09,0.55,7.38,0.99
contig_2499_phanotate_33_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,9.97,1.00
contig_2499_phanotate_34_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2499_phanotate_35_geneCall,0.01,0.06,0.16,0.01,0.02,0.01,0.03,0.01,0.01,0.04,9.66,1.00
contig_2499_phanotate_36_geneCall,0.03,0.25,0.11,0.04,0.16,0.50,0.15,0.06,0.28,0.32,8.09,0.99
contig_2499_phanotate_37_geneCall,0.02,0.07,0.06,0.03,0.05,1.11,0.16,0.03,0.14,1.85,6.48,0.98
contig_2499_phanotate_38_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2499_phanotate_39_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2499_phanotate_40_geneCall,0.02,0.46,0.02,0.02,0.14,0.09,0.08,0.01,0.02,0.06,9.08,1.00
contig_2499_phanotate_41_geneCall,0.01,0.12,0.06,0.01,0.07,1.19,0.19,0.06,0.05,1.35,6.88,0.99
contig_2499_phanotate_42_geneCall,0.01,1.10,0.05,0.04,0.06,0.03,0.23,0.01,0.04,1.14,7.28,0.99
contig_2499_phanotate_43_geneCall,0.00,0.34,0.00,0.00,0.02,0.02,0.01,0.00,0.00,0.30,9.30,1.00
contig_2499_phanotate_44_geneCall,0.00,0.40,0.04,0.01,0.02,0.04,0.04,0.04,0.01,0.45,8.96,1.00
contig_2499_phanotate_45_geneCall,0.13,0.27,0.20,0.07,0.13,1.70,0.35,0.07,0.16,1.23,5.70,0.98
contig_2499_phanotate_46_geneCall,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,9.95,1.00
contig_2499_phanotate_47_geneCall,0.00,0.05,0.01,0.00,0.01,0.03,0.05,0.00,0.04,0.05,9.74,1.00
contig_2499_phanotate_48_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_2499_phanotate_49_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_2499_phanotate_50_geneCall,0.00,0.06,0.02,0.01,0.03,0.04,0.06,0.01,0.19,0.59,8.99,1.00
contig_2499_phanotate_51_geneCall,0.05,0.40,0.07,0.03,0.13,0.48,0.21,0.13,0.15,3.77,4.59,0.98
contig_2499_phanotate_52_geneCall,0.00,0.01,0.06,0.00,0.01,0.00,0.00,0.00,0.00,0.11,9.81,1.00
contig_2499_phanotate_53_geneCall,0.26,0.74,0.03,0.01,0.01,0.01,0.40,0.00,0.09,0.00,8.44,0.99
contig_2499_phanotate_54_geneCall,0.04,0.14,0.06,0.02,0.17,0.09,0.75,0.03,0.36,0.05,8.29,0.99
contig_2499_phanotate_55_geneCall,0.20,0.78,0.59,0.15,0.33,0.22,0.49,0.14,0.11,0.25,6.75,0.98
