contig	protLen	protHits
circular_pair_102	158	Phage protein, Transcriptional repressor protein
circular_pair_102	494	radical SAM domain-containing protein, fig|221915.9.peg.187 hypothetical protein, fig|1239383.3.peg.153 hypothetical protein, fig|1041526.3.peg.178 hypothetical protein, fig|1190451.3.peg.27 radical SAM domain-containing protein
circular_pair_102	305	fig|6666666.73729.peg.42 hypothetical protein, fig|722417.3.peg.147 Mobile element protein, fig|1084719.3.peg.262 Nicotinate phosphoribosyltransferase (EC 2.4.2.11 protein, fig|6666666.73842.peg.3 hypothetical protein
circular_pair_102	149	Protein of Unknown Function Not in a subsystem 6666666.43278 Cellulophaga phage phiST protein, Protein of Unknown Function Not in a subsystem 6666666.43269 Cellulophaga phage phi19:2 protein, Protein of Unknown Function Not in a subsystem 6666666.43267 Cellulophaga phage phi13:1 protein, fig|512792.2.peg.24 Phage protein
circular_pair_102	125	NA
circular_pair_102	122	NA
circular_pair_102	89	NA
circular_pair_102	137	NA
circular_pair_102	89	hypothetical protein
circular_pair_102	92	NA
circular_pair_102	308	Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration Phage_integrases 406340.2 P2-like viruses Ralstonia phage phiRSA1 protein, Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration Phage_integrases 431893.2 P2-like viruses Burkholderia phage phiE202 protein, Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration Phage_integrases 332032.3 Burkholderia pseudomallei phage phi52237 protein, Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration Phage_integrases 348058.2 P22-like viruses Salmonella phage epsilon34 protein, integrase Not in a subsystem 1498227.3 Shigella phage POCJ13, complete genome. protein, site-specific recombinase Ralstonia phage RSA1 | recombinase | Ralstonia | phage | RSA1 protein, phage integrase family protein, gp10, site-specific recombinase, phage integrase family Burkholderia virus phiE202 | site-specific | recombinase, | phage | integrase | family | Burkholderia | virus | phiE202 protein, prophage integrase Burkholderia phage phiX216 | integrase | Burkholderia | phage | phiX216 protein, integrase Salmonella phage SEN22 | Salmonella | phage | SEN22 protein, fig|406340.2.peg.50 Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration| Phage_integrases 406340.2 P2-like viruses Ralstonia phage phiRSA1 protein, fig|431893.2.peg.10 Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration| Phage_integrases 431893.2 P2-like viruses Burkholderia phage phiE202 protein, fig|332032.3.peg.2 Phage integrase, site-specific tyrosine recombinase ACLAME_Phage_integration| Phage_integrases 332032.3 Burkholderia pseudomallei phage phi52237 protein, fig|906668.4.peg.25 Phage integrase ACLAME_Phage_integration| Phage_integrases| Phage_integration_and_excision 906668.4 Escherichia phage HK75 protein, fig|1147154.3.peg.26 integrase Not in a subsystem 1147154.3 Enterobacteria phage mEpX2, complete genome. protein
