locus_tag	ftype	length_bp	gene	EC_number	COG	product
GPLEAGAP_00001	CDS	1287			COG1783	putative protein
GPLEAGAP_00002	CDS	2169				hypothetical protein
GPLEAGAP_00003	CDS	1977				hypothetical protein
GPLEAGAP_00004	CDS	699				hypothetical protein
GPLEAGAP_00005	CDS	384				hypothetical protein
GPLEAGAP_00006	CDS	339				hypothetical protein
GPLEAGAP_00007	CDS	462				hypothetical protein
GPLEAGAP_00008	CDS	627				hypothetical protein
GPLEAGAP_00009	CDS	411				hypothetical protein
GPLEAGAP_00010	CDS	351				hypothetical protein
GPLEAGAP_00011	CDS	2997				hypothetical protein
GPLEAGAP_00012	CDS	924				hypothetical protein
GPLEAGAP_00013	CDS	1083				hypothetical protein
GPLEAGAP_00014	CDS	642				hypothetical protein
GPLEAGAP_00015	CDS	915				hypothetical protein
GPLEAGAP_00016	CDS	330				hypothetical protein
GPLEAGAP_00017	CDS	1215				hypothetical protein
GPLEAGAP_00018	CDS	315				hypothetical protein
GPLEAGAP_00019	CDS	336				hypothetical protein
GPLEAGAP_00020	CDS	303				hypothetical protein
GPLEAGAP_00021	CDS	567				hypothetical protein
GPLEAGAP_00022	CDS	294				hypothetical protein
GPLEAGAP_00023	CDS	267				hypothetical protein
GPLEAGAP_00024	CDS	255				hypothetical protein
GPLEAGAP_00025	CDS	246				hypothetical protein
GPLEAGAP_00026	CDS	234				hypothetical protein
GPLEAGAP_00027	CDS	342				hypothetical protein
GPLEAGAP_00028	CDS	393				hypothetical protein
GPLEAGAP_00029	CDS	279				hypothetical protein
GPLEAGAP_00030	CDS	444				hypothetical protein
GPLEAGAP_00031	CDS	294				hypothetical protein
GPLEAGAP_00032	CDS	339				hypothetical protein
GPLEAGAP_00033	CDS	174				hypothetical protein
GPLEAGAP_00034	CDS	837				hypothetical protein
GPLEAGAP_00035	CDS	369				Single-stranded DNA-binding protein
GPLEAGAP_00036	CDS	378				hypothetical protein
GPLEAGAP_00037	CDS	600				hypothetical protein
GPLEAGAP_00038	CDS	321				hypothetical protein
GPLEAGAP_00039	CDS	240				hypothetical protein
GPLEAGAP_00040	CDS	474				hypothetical protein
GPLEAGAP_00041	CDS	168				hypothetical protein
GPLEAGAP_00042	CDS	399				hypothetical protein
GPLEAGAP_00043	CDS	345				hypothetical protein
GPLEAGAP_00044	CDS	303				hypothetical protein
GPLEAGAP_00045	CDS	684				hypothetical protein
GPLEAGAP_00046	CDS	318				hypothetical protein
GPLEAGAP_00047	CDS	543				hypothetical protein
GPLEAGAP_00048	CDS	465				hypothetical protein
GPLEAGAP_00049	CDS	342				hypothetical protein
GPLEAGAP_00050	CDS	405				hypothetical protein
GPLEAGAP_00051	CDS	423				hypothetical protein
