V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,host
contig_1030,BIAS001_0007_c01_1805098_1814032_SPACER1808543,100,31,0,0,16075,16105,3,33,2.19e-09,60.3,Bifidobacterium asteroides PRL2011
contig_1030,BIAS001_0004_c01_1805098_1814032_SPACER1808543,100,31,0,0,16075,16105,3,33,2.19e-09,60.3,Bifidobacterium asteroides PRL2011
contig_1030,BIAS001_0003_c01_1585856_1594790_SPACER1589301,100,31,0,0,16075,16105,3,33,2.19e-09,60.3,Bifidobacterium asteroides strain DSM20089
contig_1031,BIAS001_0006_d01_CNTG00007_808299_813279_SPACER812060,100,33,0,0,25567,25599,33,1,1.82e-10,64.1,Bifidobacterium asteroides Bin7
contig_1031,GIAP001_0084_d01_CNTG00020_29266_29844_SPACER29479,100,32,0,0,7824,7855,1,32,6.91e-10,62.2,Gilliamella apicola A9_S9
contig_1031,GIAP001_0084_d01_CNTG00020_29266_29844_SPACER29479,100,32,0,0,17932,17963,32,1,6.91e-10,62.2,Gilliamella apicola A9_S9
contig_1031,GIAP001_0051_d01_CNTG00019_40432_41010_SPACER40645,100,32,0,0,7824,7855,1,32,6.91e-10,62.2,Gilliamella apicola A8_S4
contig_1031,GIAP001_0051_d01_CNTG00019_40432_41010_SPACER40645,100,32,0,0,17932,17963,32,1,6.91e-10,62.2,Gilliamella apicola A8_S4
contig_1031,GIAP001_0009_d01_CNTG00019_25945_26523_SPACER26279,100,32,0,0,17932,17963,1,32,6.91e-10,62.2,Gilliamella apicola AW13_S29
contig_1031,GIAP001_0009_d01_CNTG00019_25945_26523_SPACER26279,100,32,0,0,7824,7855,32,1,6.91e-10,62.2,Gilliamella apicola AW13_S29
contig_1031,BIAS001_0006_d01_CNTG00007_808299_813279_SPACER811693,100,32,0,0,25290,25321,33,2,6.91e-10,62.2,Bifidobacterium asteroides Bin7
contig_1031,GIAP001_0041_d01_CNTG00003_18000_18578_SPACER18213,100,32,0,0,7824,7855,1,32,6.91e-10,62.2,Gilliamella apicola A-7-12_S13
