locus_tag	ftype	length_bp	gene	EC_number	COG	product
JENCDBEI_00001	CDS	1281			COG1783	putative protein
JENCDBEI_00002	CDS	2211				hypothetical protein
JENCDBEI_00003	CDS	2055				hypothetical protein
JENCDBEI_00004	CDS	696				hypothetical protein
JENCDBEI_00005	CDS	384				hypothetical protein
JENCDBEI_00006	CDS	327				hypothetical protein
JENCDBEI_00007	CDS	462				hypothetical protein
JENCDBEI_00008	CDS	612				hypothetical protein
JENCDBEI_00009	CDS	423				hypothetical protein
JENCDBEI_00010	CDS	375				hypothetical protein
JENCDBEI_00011	CDS	2925				hypothetical protein
JENCDBEI_00012	CDS	900				hypothetical protein
JENCDBEI_00013	CDS	1062				hypothetical protein
JENCDBEI_00014	CDS	690				hypothetical protein
JENCDBEI_00015	CDS	957				hypothetical protein
JENCDBEI_00016	CDS	258				hypothetical protein
JENCDBEI_00017	CDS	1209				hypothetical protein
JENCDBEI_00018	CDS	333				hypothetical protein
JENCDBEI_00019	CDS	597				hypothetical protein
JENCDBEI_00020	CDS	414				hypothetical protein
JENCDBEI_00021	CDS	177				hypothetical protein
JENCDBEI_00022	CDS	426				hypothetical protein
JENCDBEI_00023	CDS	441				hypothetical protein
JENCDBEI_00024	CDS	222				hypothetical protein
JENCDBEI_00025	CDS	345				hypothetical protein
JENCDBEI_00026	CDS	405				hypothetical protein
JENCDBEI_00027	CDS	387				hypothetical protein
JENCDBEI_00028	CDS	366				hypothetical protein
JENCDBEI_00029	CDS	351				hypothetical protein
JENCDBEI_00030	CDS	390				hypothetical protein
JENCDBEI_00031	CDS	1242				hypothetical protein
JENCDBEI_00032	CDS	879				hypothetical protein
JENCDBEI_00033	CDS	615				hypothetical protein
JENCDBEI_00034	CDS	771				hypothetical protein
JENCDBEI_00035	CDS	528				hypothetical protein
JENCDBEI_00036	CDS	237				hypothetical protein
JENCDBEI_00037	CDS	585				hypothetical protein
JENCDBEI_00038	CDS	207				hypothetical protein
JENCDBEI_00039	CDS	210				hypothetical protein
JENCDBEI_00040	CDS	675				hypothetical protein
JENCDBEI_00041	CDS	477				hypothetical protein
JENCDBEI_00042	CDS	546				hypothetical protein
JENCDBEI_00043	CDS	399				hypothetical protein
