Contig ID,Assembly ID,Length,Topology,Clustering status,Viral Cluster,Cluster Name,Host_crisprdb,Host_beebacterium,Genbank accession
Myoviridae-like_bee-phage_1,BeeP-11-2013_NODE_1_length_180431_cov_45_996640,180431,Circular,Clustered,59_12,Myoviridae,nan,nan,MN855763
Unclassified_bee-phage_2,BeeP-49-2013_NODE_1_length_137464_cov_264_909103,137464,Linear,Overlap (VC_181/VC_348),,nan,nan,nan,MN856100
Podoviridae-like_bee-phage_3,BP50_NODE_1_length_71699_cov_19_894646,71699,Circular,Clustered,6_2,Podoviridae,nan,nan,MN855733
Siphoviridae-like_bee-phage_4,BP49_NODE_1_length_65331_cov_17_543582,65331,Circular,Clustered,261_0,Siphoviridae,nan,nan,MN855720
Siphoviridae-like_bee-phage_5,BeeP-11-2013_NODE_3_length_61196_cov_356_638901,61196,Linear,Clustered,292_0,Siphoviridae,nan,nan,MN855764
Myoviridae-like_bee-phage_6,BeeP-48-2013_NODE_1_length_60809_cov_188_714631,60809,Linear,Clustered,383_0,Myoviridae,nan,nan,MN856096
Podoviridae-like_bee-phage_7,BP50_NODE_4_length_51643_cov_134_843310,51643,Circular,Clustered,167_0,Podoviridae,nan,nan,MN855734
Myoviridae-like_bee-phage_8,BP41_NODE_1_length_49648_cov_4_244654,49648,Linear,Clustered,261_0,Myoviridae,nan,nan,MN855698
Myoviridae-like_bee-phage_9,BeeP-11-2013_NODE_5_length_48957_cov_40_354664,48957,Linear,Clustered,119_0,Myoviridae,nan,nan,MN855765
Myoviridae-like_bee-phage_10,BeeP-35-2013_NODE_1_length_48212_cov_109_842256,48212,Circular,Clustered,54_1,Mixed,Pluralibacter,nan,MN856003
Myoviridae-like_bee-phage_11,BeeP-11-2013_NODE_6_length_47542_cov_634_671885,47542,Circular,Clustered,54_1,Mixed,Hafnia,nan,MN855766
Myoviridae-like_bee-phage_12,BeeP-38-2013_NODE_1_length_47472_cov_756_510180,47472,Circular,Clustered,188_0,Mixed,nan,Lactobacillus,MN856069
Myoviridae-like_bee-phage_13,BeeP-11-2013_NODE_7_length_46934_cov_15_474593,46934,Linear,Clustered,54_1,Mixed,nan,nan,MN855767
Podoviridae-like_bee-phage_14,BeeP-11-2013_NODE_8_length_46852_cov_48_771438,46852,Circular,Clustered,39_0,Podoviridae,nan,nan,MN855768
Podoviridae-like_bee-phage_15,BeeP-11-2013_NODE_9_length_46489_cov_58_922111,46489,Linear,Clustered,39_0,Podoviridae,nan,nan,MN855769
Siphoviridae-like_bee-phage_16,BeeP-11-2013_NODE_10_length_45562_cov_39_780829,45562,Linear,Clustered,54_0,Siphoviridae,nan,nan,MN855770
Podoviridae-like_bee-phage_17,BP50_NODE_5_length_45555_cov_7_532597,45555,Circular,Clustered,188_0,Mixed,Lactobacillus,Lactobacillus,MN855735
Siphoviridae-like_bee-phage_18,BeeP-11-2013_NODE_11_length_45238_cov_62_839065,45238,Linear,Clustered,73_0,Siphoviridae,nan,nan,MN855771
Podoviridae-like_bee-phage_19,BeeP-11-2013_NODE_12_length_44834_cov_98_401412,44834,Linear,Clustered,39_0,Podoviridae,nan,nan,MN855772
Siphoviridae-like_bee-phage_20,BeeP-11-2013_NODE_13_length_44796_cov_40_206802,44796,Linear,Clustered,73_0,Siphoviridae,nan,nan,MN855773
Myoviridae-like_bee-phage_21,BeeP-11-2013_NODE_14_length_44651_cov_23_057500,44651,Linear,Clustered,95_0,Myoviridae,nan,nan,MN855774
Myoviridae-like_bee-phage_22,BeeP-35-2013_NODE_2_length_43720_cov_19_440918,43720,Linear,Clustered,49_1,Myoviridae,nan,nan,MN856004
Myoviridae-like_bee-phage_23,BeeP-35-2013_NODE_3_length_42833_cov_34_126251,42833,Linear,Clustered,303_0,Myoviridae,nan,nan,MN856005
