CONTIG	REGION	REGION_LENGTH	COMPLETENESS(score)	SPECIFIC_KEYWORD	REGION_POSITION	TRNA_NUM	TOTAL_PROTEIN_NUM	PHAGE_HIT_PROTEIN_NUM	HYPOTHETICAL_PROTEIN_NUM	PHAGE+HYPO_PROTEIN_PERCENTAGE	BACTERIAL_PROTEIN_NUM	ATT_SITE_SHOWUP	PHAGE_SPECIES_NUM	MOST_COMMON_PHAGE_NAME(hit_genes_count)	FIRST_MOST_COMMON_PHAGE_NUM	FIRST_MOST_COMMON_PHAGE_PERCENTAGE	GC_PERCENTAGE
>contig_2835	1	9.7Kb	questionable(70)	capsid,head	170-9899	0	17	15	2	100%	0	no	7	PHAGE_Lactob_jlb1_NC_024206(2),PHAGE_Lactob_KC5a_NC_007924(2),PHAGE_Lactob_Lj771_NC_010179(2),PHAGE_Clostr_phiCD119_NC_007917(1),PHAGE_Staphy_PVL_NC_002321(1),PHAGE_Brevib_Jimmer1_NC_029104(1),PHAGE_Lactob_J_1_NC_022756(1),PHAGE_Lactoc_BM13_NC_021861(1),PHAGE_Staphy_SA12_NC_021801(1),PHAGE_Bacill_BCJA1c_NC_006557(1),PHAGE_Strept_315.4_NC_004587(1),PHAGE_Staphy_StB20_like_NC_028821(1),PHAGE_Brevib_Jimmer2_NC_041976(1),PHAGE_Bacill_IEBH_NC_011167(1),PHAGE_Staphy_phiBU01_NC_026016(1),PHAGE_Brevib_Osiris_NC_028969(1),PHAGE_Brevib_Davies_NC_022980(1),PHAGE_Strept_9871_NC_031069(1),PHAGE_Strept_9872_NC_031094(1),PHAGE_Clostr_phiCDHM19_NC_028996(1),PHAGE_Lactob_LP65_NC_006565(1),PHAGE_Temper_phiNIH1.1_NC_003157(1),PHAGE_Lactob_CL1_NC_028888(1),PHAGE_Staphy_tp310_1_NC_009761(1),PHAGE_Bacill_PfEFR_5_NC_031055(1),PHAGE_Lactob_PL_1_NC_022757(1),PHAGE_Strept_7201_NC_002185(1),PHAGE_Lactob_phiAQ113_NC_019782(1),PHAGE_Lactob_iLp1308_NC_028911(1)	6	11.76%	37.92%
>contig_3134	1	8.7Kb	incomplete(30)	tail	186-8922	0	16	11	5	100%	0	no	6	PHAGE_Lactob_Lb338_1_NC_012530(3),PHAGE_Entero_EFLK1_NC_029026(2),PHAGE_Bacill_Bobb_NC_024792(2),PHAGE_Bacill_phiNIT1_NC_021856(1),PHAGE_Bacill_Grass_NC_022771(1),PHAGE_Staphy_phiIPLA_RODI_NC_028765(1),PHAGE_Bacill_Shbh1_NC_030925(1),PHAGE_Staphy_S25_4_NC_022918(1),PHAGE_Staphy_phiIPLA_C1C_NC_028962(1),PHAGE_Lister_List_36_NC_024364(1),PHAGE_Bacill_Bastille_NC_018856(1),PHAGE_Entero_phiEF24C_NC_009904(1),PHAGE_Staphy_SA11_NC_019511(1),PHAGE_Staphy_S25_3_NC_022920(1),PHAGE_Staphy_P108_NC_025426(1),PHAGE_Bacill_T_NC_024205(1),PHAGE_Entero_ECP3_NC_027335(1),PHAGE_Staphy_812_NC_029080(1),PHAGE_Bacill_CAM003_NC_024216(1),PHAGE_Bacill_Bp8p_C_NC_029121(1),PHAGE_Lister_LMTA_34_NC_042048(1),PHAGE_Lister_LP_048_NC_024359(1),PHAGE_Lister_P100_NC_007610(1),PHAGE_Staphy_phiSA012_NC_023573(1),PHAGE_Staphy_Twort_NC_007021(1),PHAGE_Staphy_phiIBB_SEP1_NC_041928(1),PHAGE_Bacill_Evoli_NC_024207(1),PHAGE_Staphy_GH15_NC_019448(1),PHAGE_Staphy_Stau2_NC_030933(1),PHAGE_Lister_LMSP_25_NC_024360(1),PHAGE_Staphy_G1_NC_007066(1),PHAGE_Staphy_JD007_NC_019726(1),PHAGE_Bacill_SIOphi_NC_042133(1)	6	18.75%	34.91%
>contig_110	1	7.4Kb	incomplete(10)	NA	498-7925	0	13	10	3	100%	0	no	3	PHAGE_Bdello_phi1422_NC_019525(1),PHAGE_Thermu_OH2_NC_021784(1),PHAGE_Rhizob_RHEph06_NC_027296(1),PHAGE_Rhizob_RHEph04_NC_041908(1),PHAGE_Acinet_vB_AbaM_ME3_NC_041884(1),PHAGE_Roseob_1_NC_015466(1),PHAGE_Pseudo_H66_NC_042342(1)	5	7.69%	40.09%
>contig_1215	1	56.3Kb	incomplete(30)	NA	173-56522	0	65	45	20	100%	0	no	6	PHAGE_Rhizob_RHEph10_NC_034248(40),PHAGE_Pseudo_nickie_NC_042091(16),PHAGE_Salmon_SSU5_NC_018843(15),PHAGE_Bacill_SP_10_NC_019487(4),PHAGE_Agroba_Atu_ph07_NC_042013(3),PHAGE_Rhizob_vB_RleS_L338C_NC_023502(3),PHAGE_Cronob_vB_CsaM_GAP32_NC_019401(2),PHAGE_Bacill_SPO1_NC_011421(2),PHAGE_Dinoro_DFL12phi1_NC_024367(2),PHAGE_Sinorh_phiM9_NC_028676(2),PHAGE_Rhizob_vB_RleM_PPF1_NC_025427(2),PHAGE_Rhizob_vB_RglS_P106B_NC_023566(2),PHAGE_Caulob_CcrColossus_NC_019406(2),PHAGE_Bacill_CampHawk_NC_022761(2),PHAGE_Sulfit_EE36phi1_NC_012696(2),PHAGE_Rhizob_vB_RleM_P10VF_NC_025429(2),PHAGE_Pectob_CBB_NC_041878(2),PHAGE_Serrat_BF_NC_041917(2),PHAGE_Caulob_karma_NC_019410(1),PHAGE_Sinorh_PBC5_NC_003324(1),PHAGE_Salmon_SP_076_NC_021782(1),PHAGE_Synech_S_IOM18_NC_021536(1),PHAGE_Bacill_Shanette_NC_028983(1),PHAGE_Vibrio_ICP2_2013_A_Haiti_NC_024791(1),PHAGE_Caulob_magneto_NC_019407(1),PHAGE_Erwini_PhiEaH1_NC_023610(1),PHAGE_Strept_Lannister_NC_028827(1),PHAGE_Burkho_KS9_NC_013055(1),PHAGE_Erwini_vB_EamP_Frozen_NC_031062(1),PHAGE_Erwini_vB_EamM_RisingSun_NC_042018(1),PHAGE_Bacill_Phrodo_NC_031100(1),PHAGE_Sphing_Lacusarx_NC_041927(1),PHAGE_Synech_S_ShM2_NC_015281(1),PHAGE_Lister_LP_048_NC_024359(1),PHAGE_Entero_YYZ_2008_NC_011356(1),PHAGE_Silici_DSS3phi2_NC_012697(1),PHAGE_Brocho_A9_NC_015253(1),PHAGE_Cronob_CR5_NC_021531(1),PHAGE_Entero_mEp460_NC_019716(1),PHAGE_Entero_cdtI_NC_009514(1),PHAGE_Cyanop_S_TIM5_NC_019516(1),PHAGE_Strept_Lika_NC_021298(1),PHAGE_Caulob_swift_NC_019411(1),PHAGE_Burkho_BcepMigl_NC_019917(1),PHAGE_Burkho_phiE125_NC_003309(1),PHAGE_Salmon_SJ46_NC_031129(1),PHAGE_Synech_S_CAM22_NC_031903(1),PHAGE_Escher_RCS47_NC_042128(1),PHAGE_Vibrio_SHOU24_NC_023569(1),PHAGE_Staphy_vB_SauM_Remus_NC_022090(1),PHAGE_Salmon_SP_058_NC_021772(1),PHAGE_Provid_vB_PreS_PR1_NC_041913(1),PHAGE_Yersin_phiR201_NC_019919(1),PHAGE_Erwini_Ea9_2_NC_023579(1),PHAGE_Entero_P1_NC_005856(1),PHAGE_Shigel_pSb_1_NC_023589(1),PHAGE_Escher_EC1_UPM_NC_041906(1),PHAGE_Erwini_vB_EamM_Phobos_NC_031043(1),PHAGE_Crocei_P2559S_NC_018276(1),PHAGE_Burkho_Bcep176_NC_007497(1),PHAGE_Yersin_fHe_Yen9_04_NC_042116(1),PHAGE_Cyanop_P_RSM6_NC_020855(1),PHAGE_Synech_S_WAM1_NC_031944(1),PHAGE_Clostr_phiCT19406A_NC_030950(1),PHAGE_Bacill_SIOphi_NC_042133(1),PHAGE_Pectob_PP90_NC_031096(1)	40	61.53%	39.98%
>contig_1215	2	23.4Kb	questionable(70)	terminase,capsid,tail	78602-102004	0	27	23	4	100%	0	no	5	PHAGE_Rhizob_RHEph10_NC_034248(21),PHAGE_Pseudo_nickie_NC_042091(17),PHAGE_Salmon_SSU5_NC_018843(16),PHAGE_Pseudo_YMC11/02/R656_NC_028657(2),PHAGE_Caulob_karma_NC_019410(1),PHAGE_Escher_HK639_NC_016158(1),PHAGE_Bacill_Grass_NC_022771(1),PHAGE_Burkho_BcepGomr_NC_009447(1),PHAGE_Mannhe_vB_MhS_1152AP2_NC_028956(1),PHAGE_Pseudo_EL_NC_007623(1),PHAGE_Entero_BP_4795_NC_004813(1),PHAGE_Bacill_Mater_NC_027366(1),PHAGE_Caulob_magneto_NC_019407(1),PHAGE_Salico_CGphi29_NC_020844(1),PHAGE_Pseudo_PaMx11_NC_028770(1),PHAGE_Loktan_pCB2051_A_NC_020853(1),PHAGE_Pseudo_PaMx25_NC_041953(1),PHAGE_Lactoc_P087_NC_012663(1),PHAGE_Rhizob_vB_RleS_L338C_NC_023502(1),PHAGE_Xylell_Salvo_NC_042345(1),PHAGE_Persic_P12024S_NC_018271(1),PHAGE_Pseudo_vB_PaeS_PAO1_Ab18_NC_026594(1),PHAGE_Rhizob_16_3_NC_011103(1),PHAGE_Pseudo_phiPMW_NC_041880(1),PHAGE_Entero_mEp460_NC_019716(1),PHAGE_Arthro_Martha_NC_041932(1),PHAGE_Entero_cdtI_NC_009514(1),PHAGE_Burkho_phiE255_NC_009237(1),PHAGE_Halovi_HHTV_2_NC_021340(1),PHAGE_Halovi_HCTV_2_NC_021319(1),PHAGE_Caulob_phiCbK_NC_019405(1),PHAGE_Burkho_AH2_NC_018283(1)	16	77.77%	41.79%
>contig_1921	1	20.1Kb	intact(130)	tail,capsid,head	39-20200	0	25	24	1	100%	0	no	2	PHAGE_Lactob_KC5a_NC_007924(11),PHAGE_Lactob_jlb1_NC_024206(11),PHAGE_Lactob_Lj771_NC_010179(11),PHAGE_Lactob_phiAQ113_NC_019782(10),PHAGE_Strept_EJ_1_NC_005294(3),PHAGE_Clostr_phiCT453A_NC_028991(2),PHAGE_Clostr_phiCT9441A_NC_029022(1),PHAGE_Brevib_Abouo_NC_029029(1),PHAGE_Bacill_BCJA1c_NC_006557(1),PHAGE_Brevib_Jimmer2_NC_041976(1),PHAGE_Brevib_Osiris_NC_028969(1)	23	44%	39.19%
>contig_1143	1	9.7Kb	incomplete(10)	NA	5394-15100	0	17	9	8	100%	0	no	7	PHAGE_Azospi_Cd_NC_010355(2),PHAGE_Sinorh_phiLM21_NC_029046(2),PHAGE_Sinorh_PBC5_NC_003324(1),PHAGE_Mycoba_Panchino_NC_031281(1),PHAGE_Pseudo_PAJU2_NC_011373(1),PHAGE_Entero_P1_NC_005856(1),PHAGE_Burkho_Bcep22_NC_005262(1),PHAGE_Cyanop_SS120_1_NC_020872(1),PHAGE_Vibrio_vB_VchM_138_NC_019518(1),PHAGE_Gordon_UmaThurman_NC_031249(1),PHAGE_Rueger_DSS3_P1_NC_025428(1),PHAGE_Synech_S_SKS1_NC_020851(1),PHAGE_Vibrio_CP_T1_NC_019457(1),PHAGE_Caulob_Cr30_NC_025422(1),PHAGE_Mycoba_Brusacoram_NC_028747(1),PHAGE_Mycoba_Sbash_NC_026589(1),PHAGE_Bacill_1_NC_009737(1),PHAGE_Xantho_CP2_NC_020205(1),PHAGE_Mycoba_Jebeks_NC_041969(1),PHAGE_Cyanop_S_TIM5_NC_019516(1),PHAGE_Pectob_ZF40_NC_019522(1),PHAGE_Agroba_7_7_1_NC_019519(1),PHAGE_Vibrio_PVA1_NC_023605(1),PHAGE_Bacill_PfEFR_5_NC_031055(1),PHAGE_Paraco_Shpa_NC_041868(1),PHAGE_Bacill_phBC6A52_NC_004821(1),PHAGE_Lactob_Lv_1_NC_011801(1),PHAGE_Geobac_GBSV1_NC_008376(1),PHAGE_Thalas_BA3_NC_009990(1)	3	11.76%	45.91%
>contig_2534	1	15.6Kb	incomplete(10)	NA	435-16056	0	23	17	6	100%	0	no	6	PHAGE_Burkho_phiE255_NC_009237(5),PHAGE_Pseudo_JBD67_NC_042135(5),PHAGE_Pseudo_JBD18_NC_027986(5),PHAGE_Burkho_BcepMu_NC_005882(5),PHAGE_Pseudo_vB_PaeS_PM105_NC_028667(3),PHAGE_Pseudo_B3_NC_006548(3),PHAGE_Pseudo_JBD25_NC_027992(3),PHAGE_Burkho_KS10_NC_011216(2),PHAGE_Rhodov_RS1_NC_020866(1),PHAGE_Lactob_A2_NC_004112(1),PHAGE_Mannhe_vB_MhM_3927AP2_NC_028766(1)	5	21.73%	35.00%
>contig_1919	1	7.7Kb	incomplete(40)	lysin,integrase	1457-9171	0	17	9	8	100%	0	no	4	PHAGE_Lactob_phiadh_NC_000896(5),PHAGE_Lactob_JCL1032_NC_019456(2),PHAGE_Lactob_phiJB_NC_022775(2),PHAGE_Lactob_Lj771_NC_010179(2),PHAGE_Lactob_Lj965_NC_005355(1),PHAGE_Strept_MM1_NC_003050(1),PHAGE_Strept_SM1_NC_004996(1),PHAGE_Clostr_phiCT19406C_NC_029006(1),PHAGE_Clostr_phiCT453A_NC_028991(1),PHAGE_Lactob_LL_H_NC_009554(1),PHAGE_Lactob_Lj928_NC_005354(1),PHAGE_Lister_LP_101_NC_024387(1),PHAGE_Thermo_THSA_485A_NC_018264(1),PHAGE_Clostr_CDMH1_NC_024144(1),PHAGE_Lactob_phiAQ113_NC_019782(1),PHAGE_Lactoc_63301_NC_031017(1),PHAGE_Staphy_tp310_2_NC_009762(1),PHAGE_Staphy_3A_NC_007053(1),PHAGE_Lactob_Lv_1_NC_011801(1),PHAGE_Lister_LP_030_2_NC_021539(1)	6	29.41%	35.64%
>contig_2815	1	5.1Kb	incomplete(20)	integrase	169-5320	0	9	6	3	100%	0	yes	4	PHAGE_Lactob_phiadh_NC_000896(3),PHAGE_Lactob_JCL1032_NC_019456(2),PHAGE_Lactob_phiJB_NC_022775(2),PHAGE_Salmon_vB_SemP_Emek_NC_018275(1),PHAGE_Bacill_Kida_NC_031012(1),PHAGE_Strept_phiARI0746_NC_031907(1),PHAGE_Strept_MM1_NC_003050(1),PHAGE_Bacill_Nigalana_NC_031037(1),PHAGE_Bacill_1_NC_009737(1),PHAGE_Lactoc_bIL311_NC_002670(1),PHAGE_Lister_LP_101_NC_024387(1),PHAGE_Thermo_THSA_485A_NC_018264(1),PHAGE_Clostr_CDMH1_NC_024144(1),PHAGE_Bacill_Nemo_NC_031070(1),PHAGE_Paenib_Tripp_NC_028930(1),PHAGE_Lactob_Lj771_NC_010179(1),PHAGE_Lactob_Lv_1_NC_011801(1),PHAGE_Lister_LP_030_2_NC_021539(1),PHAGE_Geobac_GBSV1_NC_008376(1)	3	33.33%	31.08%
