CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	-	1	858	858	contig_138	prodigal	-	1	858	858	contig_138	
2	glimmer	-	860	994	135	contig_138													
3							phanotate	-	860	1039	180	contig_138	prodigal	-	860	1039	180	contig_138	
4							phanotate	+	1107	1844	738	contig_138	prodigal	+	1107	1844	738	contig_138	
5	glimmer	+	1143	1844	702	contig_138													
6							phanotate	+	1856	1999	144	contig_138							
7							phanotate	+	2080	2259	180	contig_138	prodigal	+	2080	2259	180	contig_138	
8	glimmer	+	2125	2259	135	contig_138													
9	glimmer	+	2261	3229	969	contig_138	phanotate	+	2261	3229	969	contig_138	prodigal	+	2261	3229	969	contig_138	
10							phanotate	+	3168	3695	528	contig_138	prodigal	+	3168	3695	528	contig_138	
11	glimmer	+	3195	3695	501	contig_138													
12	glimmer	+	3780	4445	666	contig_138	phanotate	+	3780	4445	666	contig_138	prodigal	+	3780	4445	666	contig_138	
13							phanotate	+	4442	4696	255	contig_138	prodigal	+	4442	4696	255	contig_138	
14	glimmer	-	4602	4796	195	contig_138													
15							phanotate	+	4775	5098	324	contig_138	prodigal	+	4775	5098	324	contig_138	
16	glimmer	+	4787	5098	312	contig_138													
17							phanotate	-	5159	5350	192	contig_138	prodigal	-	5159	5350	192	contig_138	
18	glimmer	-	5159	5356	198	contig_138													
19							phanotate	-	5447	5539	93	contig_138							
20	glimmer	-	5625	6644	1020	contig_138	phanotate	-	5625	6644	1020	contig_138	prodigal	-	5625	6644	1020	contig_138	
