,Major capsid,Minor capsid,Baseplate,Major tail,Minor tail,Portal,Tail fiber,Tail shaft,Collar,HTJ,Other,Confidence
contig_1367_phanotate_16_geneCall,0.00,0.01,0.01,0.00,0.01,0.08,0.04,0.03,0.01,0.02,9.80,1.00
contig_1367_phanotate_17_geneCall,0.09,0.27,0.05,0.36,0.22,0.11,0.60,0.03,0.24,0.11,7.93,0.99
contig_1367_phanotate_18_geneCall,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,9.98,1.00
contig_1367_phanotate_19_geneCall,0.00,0.40,0.00,0.00,0.00,1.31,0.00,0.00,0.00,0.35,7.93,0.99
contig_1367_phanotate_20_geneCall,0.00,0.05,0.02,0.02,0.03,0.74,0.03,0.01,0.11,0.08,8.91,1.00
contig_1367_phanotate_21_geneCall,0.06,0.31,0.14,0.11,0.11,0.24,0.12,0.07,0.11,0.57,8.15,0.99
contig_1367_phanotate_22_geneCall,0.00,0.01,1.64,0.00,0.09,0.00,0.02,0.00,0.00,6.97,1.26,0.87
contig_1367_phanotate_23_geneCall,0.44,0.88,0.15,0.16,0.22,1.66,0.84,0.11,0.59,0.57,4.39,0.98
contig_1367_phanotate_24_geneCall,0.12,0.45,0.21,0.10,0.18,1.61,0.90,0.07,0.19,0.40,5.76,0.98
contig_1367_phanotate_25_geneCall,0.01,0.19,0.04,0.03,0.06,0.13,0.34,0.02,0.10,0.39,8.69,1.00
contig_1367_phanotate_26_geneCall,0.00,0.13,0.11,0.01,0.08,0.07,0.07,0.02,0.01,0.21,9.29,1.00
contig_1367_phanotate_27_geneCall,0.00,0.21,0.04,0.04,0.05,0.03,0.17,0.01,0.01,0.07,9.38,1.00
contig_1367_phanotate_28_geneCall,0.00,0.07,0.06,0.00,0.07,0.02,0.03,0.01,0.01,0.01,9.70,1.00
contig_1367_phanotate_29_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_1367_phanotate_30_geneCall,0.03,0.30,0.03,0.01,0.01,2.30,0.05,0.04,0.16,0.08,6.98,0.99
contig_1367_phanotate_31_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1367_phanotate_32_geneCall,0.01,0.16,0.07,0.01,0.06,0.02,0.08,0.03,0.02,0.05,9.49,1.00
contig_1367_phanotate_33_geneCall,0.01,0.02,0.01,0.06,0.01,0.02,0.12,0.01,0.22,0.64,8.88,1.00
contig_1367_phanotate_34_geneCall,0.00,0.01,0.00,0.00,0.03,0.01,0.03,0.00,0.01,2.21,7.70,0.99
contig_1367_phanotate_35_geneCall,0.01,0.04,0.03,0.01,0.05,0.02,0.06,0.01,0.04,0.08,9.63,1.00
contig_1367_phanotate_36_geneCall,0.01,0.17,0.04,0.01,0.10,0.10,0.11,0.01,0.02,0.21,9.24,1.00
contig_1367_phanotate_37_geneCall,0.18,1.92,0.14,0.15,0.30,0.65,0.48,0.15,0.27,0.56,5.19,0.98
contig_1367_phanotate_38_geneCall,0.00,0.04,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.34,9.59,1.00
contig_1367_phanotate_39_geneCall,0.00,0.06,0.03,0.00,0.01,0.01,0.06,0.03,0.06,0.09,9.65,1.00
contig_1367_phanotate_40_geneCall,0.01,0.03,0.00,1.43,0.29,0.19,2.64,0.05,0.28,4.15,0.92,0.67
contig_1367_phanotate_41_geneCall,0.01,0.24,0.17,0.03,0.06,0.06,0.16,0.02,0.01,0.23,9.03,1.00
contig_1367_phanotate_42_geneCall,0.12,0.44,0.73,1.70,0.71,0.16,0.93,0.05,0.19,2.94,2.05,0.60
contig_1367_phanotate_43_geneCall,0.00,0.02,0.02,0.00,9.21,0.00,0.01,0.00,0.00,0.01,0.73,0.98
contig_1367_phanotate_44_geneCall,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_1367_phanotate_45_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_1367_phanotate_46_geneCall,0.00,0.16,0.00,0.00,0.00,0.01,0.04,0.00,0.00,0.05,9.73,1.00
contig_1367_phanotate_47_geneCall,0.03,0.32,0.14,0.00,0.02,0.05,0.06,0.00,0.01,1.44,7.93,0.99
contig_1368_phanotate_1_geneCall,0.07,0.22,0.13,0.24,0.06,0.12,0.20,0.21,0.43,0.36,7.96,0.99
contig_1368_phanotate_2_geneCall,0.90,0.45,0.58,0.21,0.96,1.69,0.69,2.58,0.17,0.43,1.34,0.99
