,Major capsid,Minor capsid,Baseplate,Major tail,Minor tail,Portal,Tail fiber,Tail shaft,Collar,HTJ,Other,Confidence
circular_pair_102_phanotate_1_geneCall,0.00,0.07,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00,8.97,1.00
circular_pair_102_phanotate_2_geneCall,0.05,0.26,0.15,0.02,0.16,0.26,0.09,0.03,0.10,2.47,6.40,0.98
circular_pair_102_phanotate_3_geneCall,0.00,0.19,0.00,0.00,0.03,0.44,0.06,0.00,0.04,1.74,7.49,0.99
circular_pair_102_phanotate_4_geneCall,0.00,0.04,0.04,0.01,0.03,0.05,0.07,0.01,0.15,0.06,9.53,1.00
circular_pair_102_phanotate_5_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,9.97,1.00
circular_pair_102_phanotate_6_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_102_phanotate_7_geneCall,0.21,0.03,0.01,0.04,0.02,1.55,0.21,0.09,0.15,0.47,7.21,0.99
circular_pair_102_phanotate_8_geneCall,0.00,0.54,0.03,0.03,0.04,0.03,0.06,0.02,0.03,3.30,5.92,0.98
circular_pair_102_phanotate_9_geneCall,0.01,0.50,0.05,0.01,0.98,0.05,0.09,0.02,0.03,0.71,7.55,0.99
circular_pair_102_phanotate_10_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_102_phanotate_11_geneCall,0.00,0.06,0.01,0.01,0.03,0.00,0.03,0.00,0.00,0.07,9.78,1.00
circular_pair_102_phanotate_12_geneCall,0.01,0.06,0.02,0.00,0.05,0.10,0.06,0.01,0.04,0.04,9.61,1.00
circular_pair_102_phanotate_13_geneCall,0.00,0.03,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.02,9.92,1.00
circular_pair_102_phanotate_14_geneCall,0.00,0.00,0.00,0.01,0.04,0.01,0.01,0.00,0.39,0.01,9.54,1.00
circular_pair_102_phanotate_15_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,9.99,1.00
circular_pair_102_phanotate_16_geneCall,0.00,0.11,0.01,0.01,0.07,0.01,0.05,0.00,0.01,0.14,9.58,1.00
circular_pair_102_phanotate_17_geneCall,0.10,0.30,0.11,0.10,0.10,0.11,0.13,0.09,0.10,0.16,8.71,1.00
circular_pair_102_phanotate_18_geneCall,0.00,0.07,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00,8.97,1.00
circular_pair_102_phanotate_19_geneCall,0.05,0.26,0.15,0.02,0.16,0.26,0.09,0.03,0.10,2.47,6.40,0.98
circular_pair_102_phanotate_20_geneCall,0.00,0.19,0.00,0.00,0.03,0.44,0.06,0.00,0.04,1.74,7.49,0.99
circular_pair_102_phanotate_21_geneCall,0.00,0.03,0.02,0.01,0.02,0.11,0.06,0.01,0.04,0.07,9.64,1.00
circular_pair_102_phanotate_22_geneCall,0.01,0.26,0.24,0.01,0.05,0.33,0.89,0.03,0.03,0.07,8.08,0.99
circular_pair_124_phanotate_1_geneCall,0.06,0.64,0.16,0.10,0.14,0.25,0.26,0.07,0.11,0.13,8.08,0.99
circular_pair_124_phanotate_2_geneCall,0.00,0.02,0.00,0.00,0.02,0.06,0.03,0.00,0.00,0.01,9.85,1.00
circular_pair_124_phanotate_3_geneCall,0.00,0.01,0.70,0.00,0.01,0.00,0.01,0.00,0.00,0.16,9.11,1.00
circular_pair_124_phanotate_4_geneCall,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
circular_pair_124_phanotate_5_geneCall,0.10,0.62,0.23,0.20,0.33,0.49,0.54,0.12,0.13,0.44,6.79,0.98
circular_pair_124_phanotate_6_geneCall,0.04,0.15,1.15,0.15,0.21,0.13,0.38,0.04,0.05,5.33,2.38,0.76
circular_pair_124_phanotate_7_geneCall,0.10,0.54,0.19,0.10,0.34,1.44,0.77,0.08,0.12,0.31,6.02,0.98
circular_pair_124_phanotate_8_geneCall,0.17,0.38,1.23,0.39,0.36,0.45,0.63,0.21,0.26,1.28,4.63,0.98
circular_pair_124_phanotate_9_geneCall,0.11,0.57,0.20,0.10,0.31,1.27,0.72,0.08,0.12,0.31,6.23,0.98
circular_pair_124_phanotate_10_geneCall,0.02,0.08,0.03,0.08,0.03,0.03,0.06,0.01,0.12,0.04,9.50,1.00
circular_pair_124_phanotate_11_geneCall,0.01,0.12,0.04,0.01,0.00,0.01,0.02,0.01,0.03,0.04,9.71,1.00
circular_pair_124_phanotate_12_geneCall,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.80,9.17,1.00
circular_pair_124_phanotate_13_geneCall,0.07,1.14,1.63,0.12,0.43,0.13,0.57,0.36,0.17,0.43,4.96,0.98
circular_pair_124_phanotate_14_geneCall,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.28,9.65,1.00
circular_pair_124_phanotate_15_geneCall,0.06,0.26,0.17,0.29,0.74,0.41,0.47,0.05,0.12,2.38,5.05,0.98
circular_pair_124_phanotate_16_geneCall,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.00,9.96,1.00
circular_pair_124_phanotate_17_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_124_phanotate_18_geneCall,0.00,0.07,0.01,0.01,0.06,0.02,0.05,0.01,0.01,0.03,9.73,1.00
circular_pair_124_phanotate_19_geneCall,0.01,0.19,0.06,0.02,0.09,0.09,0.16,0.05,0.03,0.02,9.29,1.00
circular_pair_124_phanotate_20_geneCall,0.00,0.82,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,9.16,1.00
circular_pair_124_phanotate_21_geneCall,0.00,0.01,0.00,0.00,0.01,0.22,0.02,0.00,0.59,0.05,9.09,1.00
circular_pair_124_phanotate_22_geneCall,0.03,0.01,0.01,0.01,0.09,0.10,0.06,0.00,0.02,0.23,9.45,1.00
circular_pair_124_phanotate_23_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_124_phanotate_24_geneCall,0.07,1.14,1.63,0.12,0.43,0.13,0.57,0.36,0.17,0.43,4.96,0.98
circular_pair_124_phanotate_25_geneCall,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.80,9.17,1.00
circular_pair_124_phanotate_26_geneCall,0.01,0.12,0.04,0.01,0.00,0.01,0.02,0.01,0.03,0.04,9.71,1.00
circular_pair_124_phanotate_27_geneCall,0.02,0.08,0.03,0.08,0.03,0.03,0.06,0.01,0.12,0.04,9.50,1.00
circular_pair_131_phanotate_1_geneCall,0.14,0.38,0.17,0.16,0.53,0.52,0.25,0.05,0.15,0.14,7.50,0.99
circular_pair_131_phanotate_2_geneCall,0.00,0.06,0.00,0.00,0.04,0.01,0.03,0.01,0.01,0.06,9.78,1.00
circular_pair_131_phanotate_3_geneCall,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,9.98,1.00
circular_pair_131_phanotate_4_geneCall,0.01,0.05,0.03,0.03,0.03,0.11,0.03,0.01,0.07,0.06,9.56,1.00
circular_pair_131_phanotate_5_geneCall,0.06,0.92,0.31,0.90,1.77,0.30,2.63,0.06,0.42,0.20,2.44,0.41
circular_pair_1390_phanotate_1_geneCall,0.00,0.05,0.00,0.01,2.15,0.00,0.01,0.00,0.00,0.00,7.79,0.99
circular_pair_1390_phanotate_2_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,9.98,1.00
circular_pair_1390_phanotate_3_geneCall,0.70,0.70,0.54,0.37,0.52,0.51,2.01,0.38,1.14,0.84,2.28,0.96
circular_pair_1390_phanotate_4_geneCall,0.03,0.23,0.02,0.04,0.18,1.81,0.08,0.03,0.21,0.38,6.99,0.99
circular_pair_1390_phanotate_5_geneCall,0.01,0.20,0.08,0.01,0.10,0.02,0.07,0.01,0.01,0.07,9.43,1.00
circular_pair_1390_phanotate_6_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,9.98,1.00
circular_pair_1390_phanotate_7_geneCall,0.70,0.70,0.54,0.37,0.52,0.51,2.01,0.38,1.14,0.84,2.28,0.96
circular_pair_1390_phanotate_8_geneCall,0.03,0.23,0.02,0.04,0.18,1.81,0.08,0.03,0.21,0.38,6.99,0.99
circular_pair_1390_phanotate_9_geneCall,0.01,0.20,0.08,0.01,0.10,0.02,0.07,0.01,0.01,0.07,9.43,1.00
circular_pair_1390_phanotate_10_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,9.98,1.00
circular_pair_1390_phanotate_11_geneCall,0.70,0.70,0.54,0.37,0.52,0.51,2.01,0.38,1.14,0.84,2.28,0.96
circular_pair_1390_phanotate_12_geneCall,0.03,0.23,0.02,0.04,0.18,1.81,0.08,0.03,0.21,0.38,6.99,0.99
circular_pair_1390_phanotate_13_geneCall,0.02,0.21,0.05,0.02,0.04,0.04,0.07,0.01,0.05,0.07,9.43,1.00
circular_pair_1398_phanotate_1_geneCall,0.55,0.52,4.01,0.22,0.67,0.26,0.78,0.38,0.35,1.16,1.09,0.81
circular_pair_1398_phanotate_2_geneCall,0.00,0.03,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.03,9.87,1.00
circular_pair_1398_phanotate_3_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,9.99,1.00
circular_pair_1398_phanotate_4_geneCall,0.14,2.80,0.72,0.10,0.37,0.17,0.33,0.08,0.34,0.12,4.81,0.98
circular_pair_1398_phanotate_5_geneCall,0.26,0.09,0.04,0.02,0.03,0.02,0.09,0.02,0.07,0.11,9.25,1.00
circular_pair_1398_phanotate_6_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
circular_pair_1398_phanotate_7_geneCall,0.00,0.02,0.01,0.00,0.03,0.01,0.06,0.00,0.04,0.01,9.82,1.00
circular_pair_1398_phanotate_8_geneCall,0.84,1.24,2.47,0.49,0.54,0.71,0.71,0.32,0.43,0.97,1.29,0.74
circular_pair_1512_phanotate_1_geneCall,0.00,0.08,0.04,0.00,0.01,0.01,0.23,0.01,0.01,0.00,9.59,1.00
circular_pair_1512_phanotate_2_geneCall,0.14,0.34,0.06,0.02,0.11,0.08,0.18,0.02,0.12,0.13,8.81,1.00
circular_pair_1512_phanotate_3_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_4_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_5_geneCall,0.00,0.01,0.00,0.00,0.00,0.06,0.01,0.00,0.00,0.02,9.90,1.00
circular_pair_1512_phanotate_6_geneCall,0.01,0.01,0.00,0.01,0.00,0.02,0.00,0.00,0.04,0.02,9.89,1.00
circular_pair_1512_phanotate_7_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_8_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_9_geneCall,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,9.87,1.00
circular_pair_1512_phanotate_10_geneCall,0.00,0.02,0.08,0.00,0.04,0.00,0.02,0.00,0.01,0.17,9.66,1.00
circular_pair_1512_phanotate_11_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
circular_pair_1512_phanotate_12_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.05,9.94,1.00
circular_pair_1512_phanotate_13_geneCall,0.00,0.00,0.00,0.00,0.08,0.00,0.03,0.00,0.00,0.00,9.88,1.00
circular_pair_1512_phanotate_14_geneCall,0.00,0.04,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,9.93,1.00
