ID	START	STOP	STRAND	SCORE	METHOD	CONTIG
1_1	104	1099	-	57.2	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_2	1193	1492	-	10.0	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_3	1601	1957	+	19.1	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_4	2135	2635	+	45.4	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_5	2699	2923	+	22.7	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_6	2923	3225	+	33.8	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_7	3225	3449	+	19.8	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_8	3446	3721	+	41.3	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_9	3711	5882	+	192.0	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_10	5986	6915	+	32.3	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_11	7318	8352	-	137.4	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_12	8352	10124	-	241.3	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_13	10298	11152	+	132.4	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_14	11211	12284	+	184.9	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_15	12288	13031	+	109.6	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_16	13131	13640	+	70.2	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_17	13640	13843	+	10.3	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_18	13847	14128	+	42.4	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_19	14128	14625	+	47.1	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_20	14640	15065	+	51.7	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_21	15053	15478	+	53.3	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_22	15465	15623	+	3.9	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_23	15586	16053	+	71.9	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_24	16046	16498	+	46.3	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_25	16565	17200	+	57.5	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_26	17197	17544	+	41.2	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_27	17549	18457	+	119.8	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_28	18450	19061	+	80.7	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_29	19058	20257	+	118.6	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_30	20278	20721	+	44.5	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_31	20693	21295	-	62.8	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_32	21295	21825	-	11.8	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_33	21856	22449	+	57.0	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_34	22509	23699	+	184.3	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_35	23712	24230	+	89.4	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_36	24287	24562	+	48.4	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_37	24707	27154	+	300.8	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_38	27169	27648	+	65.5	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_39	27648	28811	+	146.5	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
1_40	28893	29111	+	4.1	Prodigal_v2.6.3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00001	104	1099	-	6.37	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00003	1586	1957	+	2.08	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00004	1968	2138	+	2.81	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00005	2135	2635	+	8.71	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00006	2699	2923	+	3.37	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00007	2977	3225	+	5.30	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00009	3310	3462	+	5.49	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00010	3446	3721	+	6.28	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00011	3711	5882	+	10.15	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00012	5944	6915	+	3.44	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00014	6984	7106	-	4.41	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00015	7318	8352	-	9.76	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00016	8352	10124	-	9.16	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00017	10298	11152	+	11.51	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00018	11211	12284	+	14.84	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00019	12312	13031	+	15.81	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00020	13131	13640	+	13.39	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00021	13712	13843	+	8.00	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00023	13847	14128	+	10.58	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00025	14128	14625	+	11.20	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00027	14640	15065	+	11.83	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00029	15053	15478	+	12.61	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00030	15465	15623	+	5.52	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00032	15586	16053	+	14.28	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00033	16046	16498	+	13.27	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00035	16565	17200	+	7.67	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00036	17197	17544	+	7.60	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00038	17549	18457	+	13.10	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00040	18450	19061	+	12.41	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00042	19058	20257	+	10.42	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00043	20269	20721	+	10.19	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00044	20693	21295	-	10.52	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00045	21295	21828	-	6.69	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00046	21850	22449	+	10.23	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00047	22509	23699	+	13.97	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00048	23712	24230	+	12.96	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00049	24287	24562	+	14.40	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00052	24559	24714	+	4.01	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00054	24734	27154	+	9.12	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00055	27169	27648	+	10.52	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00058	27648	28811	+	9.54	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
orf00059	28857	29111	+	1.68	glimmer3	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	1099	104	-	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	1492	1193	-	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	1665	1519	-	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	1638	1799	+	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	1881	2138	+	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	2135	2635	+	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	2699	2923	+	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	2923	3225	+	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	3225	3449	+	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	3446	3721	+	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	3711	5882	+	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	5986	6915	+	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	7149	7003	-	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	8352	7318	-	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	10124	8352	-	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	10232	11152	+	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
NA	11211	12284	+	NA	PHANOTATE	Ec_pro483_NC_028943_Escherichia_phage_pro483__complete_genome_
