ID	START	STOP	STRAND	SCORE	METHOD	CONTIG
1_1	1	141	+	5.9	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_2	188	1222	-	139.7	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_3	1222	2994	-	246.9	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_4	3168	4022	+	134.8	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_5	4081	5154	+	180.2	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_6	5158	5901	+	108.7	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_7	6001	6510	+	70.8	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_8	6510	6713	+	10.7	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_9	6717	6998	+	42.2	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_10	6998	7495	+	48.1	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_11	7510	7935	+	49.8	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_12	7923	8348	+	50.8	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_13	8335	8493	+	2.2	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_14	8456	8923	+	70.5	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_15	8916	9368	+	41.6	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_16	9435	10070	+	58.8	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_17	10067	10414	+	35.4	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_18	10419	11327	+	119.2	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_19	11320	11850	+	66.4	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_20	11861	13870	+	178.9	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
1_21	13874	14401	+	48.1	Prodigal_v2.6.3	Eb_WPhi_NC_005056_1_Bacteriophage_WPhi__complete_genome
