scaffold	length	cov	circ	repeat.	mult	alt_grp	graph_path	prediction	type	Quality	COMPLETENESS.score.	SPECIFIC_KEYWORD	TOTAL_PROTEIN_NUM	PHAGE_HIT_PROTEIN_NUM	ATT_SITE_SHOWUP	MOST_COMMON_PHAGE_NAME.hit_genes_count.	engel_match_per	matt_match_len	engel_match_len	matt_match	engel_match	matt_match_per	match
contig_1	67467	72	N	N	1	*	*,1,*	organism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_10	679	5	Y	Y	1	154	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1000	24740	22	N	N	1	*	-1318,-1317,-999,-990,-990,1000,*	virus	lysogenic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1001	933	338	N	N	5	*	*,1001,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1002	40547	7	N	N	1	*	*,1002,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	685.5	NA	MN855803	NA	80.441	matthijnssen
contig_1003	8436	58	N	Y	2	254	*,1003,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1004	11565	79	N	Y	1	254	*,1004,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1005	2757	10	N	Y	1	*	*,1005,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1006	14904	70	N	N	4	*	*,1006,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1013	622	80	N	Y	1	*	1013	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.744	624	624	MN855721	JAAOBB010000166.1	90.545	both
contig_1014	625	172	N	Y	1	*	1014	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.096	625	626	MN855721	JAAOBB010000166.1	90.24	both
contig_1015	1402	242	N	Y	2	*	1015	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.166	1398	1403	MN855721	JAAOBB010000166.1	89.771	both
contig_1017	85319	101	N	N	1	*	1008,1009,1010,1016,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,-1016,-1009,-1008,-1007,-1012,-1012,-1011,1017,-1257	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	89.174	3303.875	5176	MN856090	JAAOBB010000068.1	89.026375	both
contig_1019	508	937	N	Y	8	*	1019	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.717	508	508	MN856090	JAAOBB010000053.1	93.701	both
contig_1020	503	943	N	Y	8	*	1020	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.012	503	501	MN856090	JAAOBB010000053.1	92.843	both
contig_1024	140	7	N	Y	1	*	1024	NA	NA	NA	NA	NA	NA	NA	NA	NA	91.406	128	128	MN856090	JAAOBB010000053.1	92.969	both
contig_1025	3094	22	N	Y	1	*	1025	organism	lytic	low quality draft	NA	NA	NA	NA	NA	NA	92.5865	1547.5	1542.5	MN856090	JAAOBB010000062.1	91.605	both
contig_1026	513	6	N	Y	1	*	1026	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.4225	92	184.5	MN856090	JAAOBB010000062.1	92.391	both
contig_1028	785	174	N	Y	1	*	1028	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.468	730	770	MN856090	JAAOBB010000068.1	91.507	both
contig_103	997	77	N	Y	38	*	103	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.2883333333333	384	331.333333333333	MN855739	JAAOBB010000022.1	93.229	both
