locus_tag	ftype	length_bp	gene	EC_number	COG	product
COIDEANG_00001	CDS	903				hypothetical protein
COIDEANG_00002	CDS	207				hypothetical protein
COIDEANG_00003	CDS	1107				hypothetical protein
COIDEANG_00004	CDS	270				hypothetical protein
COIDEANG_00005	CDS	414				hypothetical protein
COIDEANG_00006	CDS	1290				hypothetical protein
COIDEANG_00007	CDS	1107				hypothetical protein
COIDEANG_00008	CDS	207				hypothetical protein
COIDEANG_00009	CDS	903				hypothetical protein
COIDEANG_00010	CDS	267				hypothetical protein
COIDEANG_00011	CDS	627				hypothetical protein
COIDEANG_00012	CDS	273				hypothetical protein
COIDEANG_00013	CDS	459				hypothetical protein
COIDEANG_00014	CDS	501				hypothetical protein
COIDEANG_00015	CDS	513				hypothetical protein
COIDEANG_00016	CDS	348				hypothetical protein
COIDEANG_00017	CDS	570				hypothetical protein
COIDEANG_00018	CDS	291				hypothetical protein
COIDEANG_00019	CDS	492				hypothetical protein
COIDEANG_00020	CDS	924	hhaIM	2.1.1.37		Modification methylase HhaI
COIDEANG_00021	CDS	597				hypothetical protein
COIDEANG_00022	CDS	510				hypothetical protein
COIDEANG_00023	CDS	216				hypothetical protein
COIDEANG_00024	CDS	441				hypothetical protein
COIDEANG_00025	CDS	249				hypothetical protein
COIDEANG_00026	CDS	279				hypothetical protein
COIDEANG_00027	CDS	288				hypothetical protein
COIDEANG_00028	CDS	315				hypothetical protein
COIDEANG_00029	CDS	258				hypothetical protein
COIDEANG_00030	CDS	411				hypothetical protein
COIDEANG_00031	CDS	849				hypothetical protein
COIDEANG_00032	CDS	795				hypothetical protein
COIDEANG_00033	CDS	723				hypothetical protein
COIDEANG_00034	CDS	894				hypothetical protein
COIDEANG_00035	CDS	360				hypothetical protein
COIDEANG_00036	CDS	249				hypothetical protein
COIDEANG_00037	CDS	564				hypothetical protein
COIDEANG_00038	CDS	216				hypothetical protein
COIDEANG_00039	CDS	270				hypothetical protein
COIDEANG_00040	CDS	630				hypothetical protein
COIDEANG_00041	CDS	183				hypothetical protein
COIDEANG_00042	CDS	654	lexA	3.4.21.88		LexA repressor
COIDEANG_00043	CDS	252				hypothetical protein
COIDEANG_00044	CDS	249				hypothetical protein
COIDEANG_00045	CDS	690				hypothetical protein
COIDEANG_00046	CDS	291				hypothetical protein
COIDEANG_00047	CDS	906	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
COIDEANG_00048	CDS	993				hypothetical protein
COIDEANG_00049	CDS	222				hypothetical protein
COIDEANG_00050	CDS	306				hypothetical protein
COIDEANG_00051	CDS	255				hypothetical protein
COIDEANG_00052	CDS	837				hypothetical protein
COIDEANG_00053	CDS	192				hypothetical protein
COIDEANG_00054	CDS	2172				hypothetical protein
COIDEANG_00055	CDS	792				hypothetical protein
COIDEANG_00056	CDS	3771				hypothetical protein
COIDEANG_00057	CDS	375				hypothetical protein
COIDEANG_00058	CDS	339				hypothetical protein
COIDEANG_00059	CDS	339				hypothetical protein
COIDEANG_00060	CDS	375				hypothetical protein
COIDEANG_00061	CDS	1905				hypothetical protein
COIDEANG_00062	CDS	1869				hypothetical protein
COIDEANG_00063	CDS	486				hypothetical protein
