locus_tag	ftype	length_bp	gene	EC_number	COG	product
ANJIAAHI_00001	CDS	1278			COG1783	putative protein
ANJIAAHI_00002	CDS	2169				hypothetical protein
ANJIAAHI_00003	CDS	1977				hypothetical protein
ANJIAAHI_00004	CDS	699				hypothetical protein
ANJIAAHI_00005	CDS	384				hypothetical protein
ANJIAAHI_00006	CDS	339				hypothetical protein
ANJIAAHI_00007	CDS	462				hypothetical protein
ANJIAAHI_00008	CDS	627				hypothetical protein
ANJIAAHI_00009	CDS	411				hypothetical protein
ANJIAAHI_00010	CDS	351				hypothetical protein
ANJIAAHI_00011	CDS	2868				hypothetical protein
ANJIAAHI_00012	CDS	924				hypothetical protein
ANJIAAHI_00013	CDS	1083				hypothetical protein
ANJIAAHI_00014	CDS	645				hypothetical protein
ANJIAAHI_00015	CDS	918				hypothetical protein
ANJIAAHI_00016	CDS	348				hypothetical protein
ANJIAAHI_00017	CDS	1227				hypothetical protein
ANJIAAHI_00018	CDS	315				hypothetical protein
ANJIAAHI_00019	CDS	336				hypothetical protein
ANJIAAHI_00020	CDS	303				hypothetical protein
ANJIAAHI_00021	CDS	567				hypothetical protein
ANJIAAHI_00022	CDS	294				hypothetical protein
ANJIAAHI_00023	CDS	555				hypothetical protein
ANJIAAHI_00024	CDS	357				hypothetical protein
ANJIAAHI_00025	CDS	432				hypothetical protein
ANJIAAHI_00026	CDS	282				hypothetical protein
ANJIAAHI_00027	CDS	444				hypothetical protein
ANJIAAHI_00028	CDS	201				hypothetical protein
ANJIAAHI_00029	CDS	294				hypothetical protein
ANJIAAHI_00030	CDS	339				hypothetical protein
ANJIAAHI_00031	CDS	189				hypothetical protein
ANJIAAHI_00032	CDS	948				hypothetical protein
ANJIAAHI_00033	CDS	297				Single-stranded DNA-binding protein
ANJIAAHI_00034	CDS	378				hypothetical protein
ANJIAAHI_00035	CDS	588				hypothetical protein
ANJIAAHI_00036	CDS	318				hypothetical protein
ANJIAAHI_00037	CDS	237				hypothetical protein
ANJIAAHI_00038	CDS	195				hypothetical protein
ANJIAAHI_00039	CDS	378				hypothetical protein
ANJIAAHI_00040	CDS	345				hypothetical protein
ANJIAAHI_00041	CDS	303				hypothetical protein
ANJIAAHI_00042	CDS	684				hypothetical protein
ANJIAAHI_00043	CDS	312				hypothetical protein
ANJIAAHI_00044	CDS	306				hypothetical protein
ANJIAAHI_00045	CDS	255				hypothetical protein
ANJIAAHI_00046	CDS	471				hypothetical protein
ANJIAAHI_00047	CDS	345				hypothetical protein
ANJIAAHI_00048	CDS	405				hypothetical protein
ANJIAAHI_00049	CDS	423				hypothetical protein
