ID	START	STOP	STRAND	SCORE	METHOD	CONTIG
1_1	1	141	+	4.4	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_2	187	1221	-	133.4	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_3	1221	2993	-	252.0	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_4	3167	4021	+	136.8	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_5	4080	5153	+	176.7	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_6	5157	5900	+	109.5	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_7	6000	6509	+	68.5	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_8	6509	6712	+	12.7	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_9	6716	6997	+	40.9	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_10	6997	7494	+	46.5	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_11	7509	7934	+	57.7	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_12	7922	8347	+	50.6	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_13	8334	8492	+	5.6	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_14	8455	8922	+	75.2	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_15	8915	9367	+	44.9	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_16	9439	10224	-	40.8	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
1_17	10308	10943	+	59.7	Prodigal_v2.6.3	Eb_P2_NC_001895_1_Enterobacteria_phage_P2__complete_genome
