CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	-	1	123	123	scaffold_1042	prodigal	-	1	123	123	scaffold_1042	
2	glimmer	-	194	307	114	scaffold_1042	phanotate	-	194	307	114	scaffold_1042							
3	glimmer	-	343	480	138	scaffold_1042													
4							phanotate	-	362	571	210	scaffold_1042							
5							phanotate	-	626	739	114	scaffold_1042							
6							phanotate	-	758	862	105	scaffold_1042							
7							phanotate	-	1063	1197	135	scaffold_1042							
8							phanotate	-	1264	1356	93	scaffold_1042							
9	glimmer	-	1474	1620	147	scaffold_1042	phanotate	-	1474	1620	147	scaffold_1042							
10													prodigal	-	1474	1707	234	scaffold_1042	
11	glimmer	+	1633	1812	180	scaffold_1042	phanotate	+	1633	1812	180	scaffold_1042							
12	glimmer	+	1796	2278	483	scaffold_1042	phanotate	+	1796	2278	483	scaffold_1042	prodigal	+	1796	2278	483	scaffold_1042	
13	glimmer	+	2293	2799	507	scaffold_1042	phanotate	+	2293	2799	507	scaffold_1042	prodigal	+	2293	2799	507	scaffold_1042	
14							phanotate	-	2759	2914	156	scaffold_1042							
15							phanotate	+	3029	3118	90	scaffold_1042							
16							phanotate	+	3103	3234	132	scaffold_1042							
17							phanotate	-	3231	3386	156	scaffold_1042							
18	glimmer	-	3428	3934	507	scaffold_1042	phanotate	-	3428	3934	507	scaffold_1042	prodigal	-	3428	3934	507	scaffold_1042	
19	glimmer	-	3949	4431	483	scaffold_1042	phanotate	-	3949	4431	483	scaffold_1042	prodigal	-	3949	4431	483	scaffold_1042	
20	glimmer	-	4415	4594	180	scaffold_1042													
21							phanotate	+	4520	4750	231	scaffold_1042	prodigal	+	4520	4750	231	scaffold_1042	
22	glimmer	+	4607	4750	144	scaffold_1042													
23	glimmer	+	4757	4957	201	scaffold_1042	phanotate	+	4757	4957	201	scaffold_1042	prodigal	+	4757	4957	201	scaffold_1042	
24	glimmer	+	4950	5159	210	scaffold_1042							prodigal	+	4950	5159	210	scaffold_1042	
25							phanotate	+	5023	5199	177	scaffold_1042							
26	glimmer	+	5215	5757	543	scaffold_1042							prodigal	+	5215	5757	543	scaffold_1042	
27							phanotate	+	5275	5757	483	scaffold_1042							
28	glimmer	+	5772	6278	507	scaffold_1042	phanotate	+	5772	6278	507	scaffold_1042	prodigal	+	5772	6278	507	scaffold_1042	
29							phanotate	+	6320	6475	156	scaffold_1042							
30							phanotate	+	6509	6607	99	scaffold_1042							
31							phanotate	-	6724	6867	144	scaffold_1042							
32	glimmer	-	6909	7265	357	scaffold_1042	phanotate	-	6909	7265	357	scaffold_1042							
33													prodigal	+	7177	7320	144	scaffold_1042	
34	glimmer	+	7295	8539	1245	scaffold_1042	phanotate	+	7295	8539	1245	scaffold_1042	prodigal	+	7295	8539	1245	scaffold_1042	
35							phanotate	+	8552	9430	879	scaffold_1042	prodigal	+	8552	9430	879	scaffold_1042	
36	glimmer	+	8699	9430	732	scaffold_1042													
37	glimmer	+	9399	9965	567	scaffold_1042							prodigal	+	9399	9965	567	scaffold_1042	
38							phanotate	+	9465	9965	501	scaffold_1042							
39							phanotate	+	9949	11778	1830	scaffold_1042	prodigal	+	9949	11778	1830	scaffold_1042	
40	glimmer	+	9955	11778	1824	scaffold_1042													
41							phanotate	+	11765	11986	222	scaffold_1042	prodigal	+	11765	11986	222	scaffold_1042	
42	glimmer	+	11783	11986	204	scaffold_1042													
43	glimmer	+	12045	12659	615	scaffold_1042	phanotate	+	12045	12659	615	scaffold_1042	prodigal	+	12045	12659	615	scaffold_1042	
44	glimmer	+	12675	13583	909	scaffold_1042	phanotate	+	12675	13583	909	scaffold_1042	prodigal	+	12675	13583	909	scaffold_1042	
45	glimmer	+	13593	13940	348	scaffold_1042	phanotate	+	13593	13940	348	scaffold_1042	prodigal	+	13593	13940	348	scaffold_1042	
46	glimmer	+	13930	14235	306	scaffold_1042	phanotate	+	13930	14235	306	scaffold_1042	prodigal	+	13930	14235	306	scaffold_1042	
47	glimmer	+	14228	14608	381	scaffold_1042	phanotate	+	14228	14608	381	scaffold_1042	prodigal	+	14228	14608	381	scaffold_1042	
48	glimmer	+	14605	14994	390	scaffold_1042	phanotate	+	14605	14994	390	scaffold_1042	prodigal	+	14605	14994	390	scaffold_1042	
49	glimmer	+	15008	15619	612	scaffold_1042	phanotate	+	15008	15619	612	scaffold_1042	prodigal	+	15008	15619	612	scaffold_1042	
50	glimmer	+	15642	16004	363	scaffold_1042	phanotate	+	15642	16004	363	scaffold_1042	prodigal	+	15642	16004	363	scaffold_1042	
51	glimmer	+	16007	16420	414	scaffold_1042													
52													prodigal	+	16037	16420	384	scaffold_1042	
53							phanotate	+	16091	16420	330	scaffold_1042							
54	glimmer	+	16422	19715	3294	scaffold_1042	phanotate	+	16422	19715	3294	scaffold_1042	prodigal	+	16422	19715	3294	scaffold_1042	
55	glimmer	+	19715	20524	810	scaffold_1042	phanotate	+	19715	20524	810	scaffold_1042	prodigal	+	19715	20524	810	scaffold_1042	
56	glimmer	+	20521	21978	1458	scaffold_1042	phanotate	+	20521	21978	1458	scaffold_1042	prodigal	+	20521	21978	1458	scaffold_1042	
57	glimmer	+	21979	22377	399	scaffold_1042	phanotate	+	21979	22377	399	scaffold_1042	prodigal	+	21979	22377	399	scaffold_1042	
58	glimmer	+	22374	22562	189	scaffold_1042							prodigal	+	22374	22562	189	scaffold_1042	
59							phanotate	+	22407	22562	156	scaffold_1042							
60	glimmer	+	22543	24090	1548	scaffold_1042	phanotate	+	22543	24090	1548	scaffold_1042	prodigal	+	22543	24090	1548	scaffold_1042	
61	glimmer	+	24107	24406	300	scaffold_1042	phanotate	+	24107	24406	300	scaffold_1042	prodigal	+	24107	24406	300	scaffold_1042	
62	glimmer	+	24422	24889	468	scaffold_1042	phanotate	+	24422	24889	468	scaffold_1042	prodigal	+	24422	24889	468	scaffold_1042	
63							phanotate	+	24879	24986	108	scaffold_1042							
64							phanotate	-	25034	25138	105	scaffold_1042							
65							phanotate	+	25151	25405	255	scaffold_1042							
66	glimmer	+	25157	25405	249	scaffold_1042							prodigal	+	25157	25405	249	scaffold_1042	
67	glimmer	+	25378	25647	270	scaffold_1042							prodigal	+	25378	25647	270	scaffold_1042	
68							phanotate	+	25417	25647	231	scaffold_1042							
69	glimmer	+	25661	26002	342	scaffold_1042													
70							phanotate	+	25679	26002	324	scaffold_1042	prodigal	+	25679	26002	324	scaffold_1042	
71	glimmer	+	25989	26786	798	scaffold_1042	phanotate	+	25989	26786	798	scaffold_1042	prodigal	+	25989	26786	798	scaffold_1042	
72	glimmer	+	26823	27308	486	scaffold_1042													
73							phanotate	+	26925	27308	384	scaffold_1042	prodigal	+	26925	27308	384	scaffold_1042	
74							phanotate	+	27584	27682	99	scaffold_1042							
75							phanotate	-	27891	28274	384	scaffold_1042	prodigal	-	27891	28274	384	scaffold_1042	
76	glimmer	-	27891	28376	486	scaffold_1042													
77	glimmer	-	28413	28754	342	scaffold_1042	phanotate	-	28413	28754	342	scaffold_1042	prodigal	-	28413	28754	342	scaffold_1042	
78	glimmer	-	28787	29140	354	scaffold_1042	phanotate	-	28787	29140	354	scaffold_1042	prodigal	-	28787	29140	354	scaffold_1042	
79	glimmer	-	29271	29405	135	scaffold_1042	phanotate	-	29271	29405	135	scaffold_1042	prodigal	-	29271	29405	135	scaffold_1042	
80							phanotate	-	29402	29521	120	scaffold_1042							
81	glimmer	-	29604	29780	177	scaffold_1042	phanotate	-	29604	29780	177	scaffold_1042	prodigal	-	29604	29780	177	scaffold_1042	
82	glimmer	-	29793	30041	249	scaffold_1042													
