ID	START	STOP	STRAND	SCORE	METHOD	CONTIG
1_1	472	1032	+	50.1	Prodigal_v2.6.3	contig_1325
1_2	1016	1195	+	4.3	Prodigal_v2.6.3	contig_1325
1_3	1234	1707	+	38.8	Prodigal_v2.6.3	contig_1325
1_4	1723	2043	+	24.7	Prodigal_v2.6.3	contig_1325
1_5	2143	2493	+	26.5	Prodigal_v2.6.3	contig_1325
1_6	2704	2898	+	17.2	Prodigal_v2.6.3	contig_1325
1_7	2895	3356	+	49.8	Prodigal_v2.6.3	contig_1325
1_8	3307	3906	+	32.1	Prodigal_v2.6.3	contig_1325
1_9	3863	4330	+	25.2	Prodigal_v2.6.3	contig_1325
1_10	4425	4646	+	9.8	Prodigal_v2.6.3	contig_1325
1_11	5696	5875	+	4.6	Prodigal_v2.6.3	contig_1325
1_12	5828	6439	-	52.7	Prodigal_v2.6.3	contig_1325
1_13	6517	6840	-	32.7	Prodigal_v2.6.3	contig_1325
1_14	7116	7373	-	8.1	Prodigal_v2.6.3	contig_1325
1_15	8436	8684	+	3.6	Prodigal_v2.6.3	contig_1325
1_16	9061	9282	-	7.8	Prodigal_v2.6.3	contig_1325
1_17	9299	9745	-	10.3	Prodigal_v2.6.3	contig_1325
1_18	9703	9888	-	2.8	Prodigal_v2.6.3	contig_1325
1_19	9937	10128	-	1.4	Prodigal_v2.6.3	contig_1325
1_20	11075	11227	-	9.6	Prodigal_v2.6.3	contig_1325
1_21	12266	12424	-	12.4	Prodigal_v2.6.3	contig_1325
1_22	13519	13740	-	2.1	Prodigal_v2.6.3	contig_1325
1_23	14045	14296	-	20.5	Prodigal_v2.6.3	contig_1325
1_24	14283	14648	-	4.6	Prodigal_v2.6.3	contig_1325
1_25	14692	14802	-	13.2	Prodigal_v2.6.3	contig_1325
1_26	14878	15165	-	10.8	Prodigal_v2.6.3	contig_1325
1_27	15333	15833	-	21.7	Prodigal_v2.6.3	contig_1325
1_28	16329	16625	-	14.1	Prodigal_v2.6.3	contig_1325
1_29	16670	17140	+	11.4	Prodigal_v2.6.3	contig_1325
1_30	17308	17622	-	24.6	Prodigal_v2.6.3	contig_1325
1_31	18315	18695	+	6.6	Prodigal_v2.6.3	contig_1325
1_32	19231	19485	+	2.2	Prodigal_v2.6.3	contig_1325
1_33	19953	20183	-	2.9	Prodigal_v2.6.3	contig_1325
1_34	20390	20683	+	4.0	Prodigal_v2.6.3	contig_1325
orf00002	27	296	-	2.97	glimmer3	contig_1325
orf00005	348	497	-	1.08	glimmer3	contig_1325
orf00008	853	1017	-	4.14	glimmer3	contig_1325
orf00009	1016	1195	+	2.06	glimmer3	contig_1325
orf00012	1260	1382	-	2.12	glimmer3	contig_1325
orf00014	1477	1737	-	2.29	glimmer3	contig_1325
orf00016	1939	2052	-	3.20	glimmer3	contig_1325
orf00018	2158	2493	+	4.85	glimmer3	contig_1325
orf00021	2623	2898	+	4.19	glimmer3	contig_1325
orf00023	2895	3356	+	2.57	glimmer3	contig_1325
orf00028	3307	3906	+	2.60	glimmer3	contig_1325
orf00029	3863	4330	+	1.38	glimmer3	contig_1325
orf00032	4425	4646	+	1.82	glimmer3	contig_1325
orf00034	4630	4875	-	5.10	glimmer3	contig_1325
orf00036	5215	5343	-	2.62	glimmer3	contig_1325
orf00038	5464	5622	-	4.02	glimmer3	contig_1325
orf00040	5696	5875	+	4.25	glimmer3	contig_1325
orf00042	5828	6439	-	2.97	glimmer3	contig_1325
orf00044	6517	6840	-	2.09	glimmer3	contig_1325
orf00047	6844	7077	+	0.54	glimmer3	contig_1325
orf00048	7116	7373	-	5.01	glimmer3	contig_1325
orf00050	7432	7545	-	2.95	glimmer3	contig_1325
orf00052	7576	7698	-	1.75	glimmer3	contig_1325
orf00054	7737	7892	-	0.13	glimmer3	contig_1325
orf00055	7889	8050	-	5.55	glimmer3	contig_1325
orf00056	8051	8347	+	5.75	glimmer3	contig_1325
orf00057	8436	8684	+	5.49	glimmer3	contig_1325
orf00058	8797	8916	+	2.20	glimmer3	contig_1325
orf00059	9061	9282	-	0.15	glimmer3	contig_1325
orf00062	9299	9742	-	4.41	glimmer3	contig_1325
orf00063	9703	9888	-	4.27	glimmer3	contig_1325
orf00065	9937	10092	-	2.56	glimmer3	contig_1325
orf00066	10265	10582	-	2.79	glimmer3	contig_1325
orf00067	10680	10910	+	2.49	glimmer3	contig_1325
orf00068	10898	11053	+	2.01	glimmer3	contig_1325
orf00071	11112	11459	+	2.08	glimmer3	contig_1325
orf00072	11526	11684	-	0.71	glimmer3	contig_1325
orf00073	11713	11871	-	0.72	glimmer3	contig_1325
orf00074	12266	12403	-	4.39	glimmer3	contig_1325
orf00076	12394	12627	+	1.75	glimmer3	contig_1325
orf00077	12756	12875	+	2.35	glimmer3	contig_1325
orf00080	12975	13316	+	3.99	glimmer3	contig_1325
orf00082	13644	13787	+	0.01	glimmer3	contig_1325
orf00086	14045	14296	-	6.35	glimmer3	contig_1325
orf00087	14283	14648	-	5.84	glimmer3	contig_1325
orf00088	14692	14817	-	4.26	glimmer3	contig_1325
orf00089	14878	15165	-	4.52	glimmer3	contig_1325
orf00095	15333	15755	-	2.09	glimmer3	contig_1325
orf00096	15979	16143	+	1.53	glimmer3	contig_1325
orf00098	16158	16274	-	1.84	glimmer3	contig_1325
orf00100	16342	16551	+	3.42	glimmer3	contig_1325
orf00104	16667	17140	+	1.06	glimmer3	contig_1325
orf00106	17308	17670	-	7.80	glimmer3	contig_1325
orf00109	17989	18279	-	4.21	glimmer3	contig_1325
orf00111	18315	18695	+	3.65	glimmer3	contig_1325
orf00112	18849	19043	-	0.02	glimmer3	contig_1325
orf00113	19040	19201	-	0.85	glimmer3	contig_1325
orf00115	19478	19756	+	4.47	glimmer3	contig_1325
orf00119	20443	20709	-	0.92	glimmer3	contig_1325
NA	287	27	-	NA	PHANOTATE	contig_1325
NA	412	281	-	NA	PHANOTATE	contig_1325
NA	472	1032	+	NA	PHANOTATE	contig_1325
NA	1016	1195	+	NA	PHANOTATE	contig_1325
NA	1219	1707	+	NA	PHANOTATE	contig_1325
NA	1723	2043	+	NA	PHANOTATE	contig_1325
NA	2051	2143	+	NA	PHANOTATE	contig_1325
NA	2143	2493	+	NA	PHANOTATE	contig_1325
NA	2477	2626	+	NA	PHANOTATE	contig_1325
NA	2689	2898	+	NA	PHANOTATE	contig_1325
NA	2895	3356	+	NA	PHANOTATE	contig_1325
NA	3307	3906	+	NA	PHANOTATE	contig_1325
NA	3863	4330	+	NA	PHANOTATE	contig_1325
NA	4327	4425	+	NA	PHANOTATE	contig_1325
NA	4425	4646	+	NA	PHANOTATE	contig_1325
NA	4756	4860	+	NA	PHANOTATE	contig_1325
NA	4890	4988	+	NA	PHANOTATE	contig_1325
NA	5057	5167	+	NA	PHANOTATE	contig_1325
NA	5148	5243	+	NA	PHANOTATE	contig_1325
NA	5243	5380	+	NA	PHANOTATE	contig_1325
NA	5400	5549	+	NA	PHANOTATE	contig_1325
NA	5550	5657	+	NA	PHANOTATE	contig_1325
NA	5811	5662	-	NA	PHANOTATE	contig_1325
NA	6439	5828	-	NA	PHANOTATE	contig_1325
NA	6840	6517	-	NA	PHANOTATE	contig_1325
NA	6940	6788	-	NA	PHANOTATE	contig_1325
NA	7201	7049	-	NA	PHANOTATE	contig_1325
NA	7407	7243	-	NA	PHANOTATE	contig_1325
NA	7545	7432	-	NA	PHANOTATE	contig_1325
NA	7698	7576	-	NA	PHANOTATE	contig_1325
NA	7829	7737	-	NA	PHANOTATE	contig_1325
NA	7811	7918	+	NA	PHANOTATE	contig_1325
NA	7950	8060	+	NA	PHANOTATE	contig_1325
NA	8051	8347	+	NA	PHANOTATE	contig_1325
NA	8351	8443	+	NA	PHANOTATE	contig_1325
NA	8436	8684	+	NA	PHANOTATE	contig_1325
NA	8776	8916	+	NA	PHANOTATE	contig_1325
NA	8963	9064	+	NA	PHANOTATE	contig_1325
NA	9282	9061	-	NA	PHANOTATE	contig_1325
NA	9745	9299	-	NA	PHANOTATE	contig_1325
NA	9888	9703	-	NA	PHANOTATE	contig_1325
NA	10065	9937	-	NA	PHANOTATE	contig_1325
NA	10245	10138	-	NA	PHANOTATE	contig_1325
NA	10516	10265	-	NA	PHANOTATE	contig_1325
NA	10608	10516	-	NA	PHANOTATE	contig_1325
NA	10849	10715	-	NA	PHANOTATE	contig_1325
NA	11078	10980	-	NA	PHANOTATE	contig_1325
NA	11227	11075	-	NA	PHANOTATE	contig_1325
NA	11386	11231	-	NA	PHANOTATE	contig_1325
NA	11684	11526	-	NA	PHANOTATE	contig_1325
NA	11871	11713	-	NA	PHANOTATE	contig_1325
NA	12054	11938	-	NA	PHANOTATE	contig_1325
NA	12246	12088	-	NA	PHANOTATE	contig_1325
NA	12424	12266	-	NA	PHANOTATE	contig_1325
NA	12691	12473	-	NA	PHANOTATE	contig_1325
NA	12714	12875	+	NA	PHANOTATE	contig_1325
NA	12943	13077	+	NA	PHANOTATE	contig_1325
NA	13083	13316	+	NA	PHANOTATE	contig_1325
NA	13417	13728	+	NA	PHANOTATE	contig_1325
NA	13865	13737	-	NA	PHANOTATE	contig_1325
NA	14045	13887	-	NA	PHANOTATE	contig_1325
NA	14296	14045	-	NA	PHANOTATE	contig_1325
NA	14648	14283	-	NA	PHANOTATE	contig_1325
NA	14817	14692	-	NA	PHANOTATE	contig_1325
NA	15165	14878	-	NA	PHANOTATE	contig_1325
NA	15302	15192	-	NA	PHANOTATE	contig_1325
NA	15833	15333	-	NA	PHANOTATE	contig_1325
NA	15994	15863	-	NA	PHANOTATE	contig_1325
NA	16261	16130	-	NA	PHANOTATE	contig_1325
NA	16625	16329	-	NA	PHANOTATE	contig_1325
NA	16652	17140	+	NA	PHANOTATE	contig_1325
NA	17333	17235	-	NA	PHANOTATE	contig_1325
NA	17670	17308	-	NA	PHANOTATE	contig_1325
NA	17923	17816	-	NA	PHANOTATE	contig_1325
NA	18023	17895	-	NA	PHANOTATE	contig_1325
NA	18306	17989	-	NA	PHANOTATE	contig_1325
NA	18315	18695	+	NA	PHANOTATE	contig_1325
NA	18745	18855	+	NA	PHANOTATE	contig_1325
NA	18822	18998	+	NA	PHANOTATE	contig_1325
NA	19084	19485	+	NA	PHANOTATE	contig_1325
NA	19570	19451	-	NA	PHANOTATE	contig_1325
NA	19681	19592	-	NA	PHANOTATE	contig_1325
NA	19811	19692	-	NA	PHANOTATE	contig_1325
NA	19975	19862	-	NA	PHANOTATE	contig_1325
NA	20252	19953	-	NA	PHANOTATE	contig_1325
NA	20420	20292	-	NA	PHANOTATE	contig_1325
NA	20709	20443	-	NA	PHANOTATE	contig_1325
NA	20780	20899	+	NA	PHANOTATE	contig_1325
NA	20900	21076	+	NA	PHANOTATE	contig_1325
NA	21131	21307	+	NA	PHANOTATE	contig_1325
