locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAEGBODO_00001	CDS	675				hypothetical protein
MAEGBODO_00002	CDS	480				hypothetical protein
MAEGBODO_00003	CDS	549				hypothetical protein
MAEGBODO_00004	CDS	399				hypothetical protein
MAEGBODO_00005	CDS	1299			COG1783	putative protein
MAEGBODO_00006	CDS	2208				hypothetical protein
MAEGBODO_00007	CDS	2064				hypothetical protein
MAEGBODO_00008	CDS	696				hypothetical protein
MAEGBODO_00009	CDS	396				hypothetical protein
MAEGBODO_00010	CDS	327				hypothetical protein
MAEGBODO_00011	CDS	462				hypothetical protein
MAEGBODO_00012	CDS	636				hypothetical protein
MAEGBODO_00013	CDS	423				hypothetical protein
MAEGBODO_00014	CDS	375				hypothetical protein
MAEGBODO_00015	CDS	3057				hypothetical protein
MAEGBODO_00016	CDS	900				hypothetical protein
MAEGBODO_00017	CDS	1080				hypothetical protein
MAEGBODO_00018	CDS	639				hypothetical protein
MAEGBODO_00019	CDS	912				hypothetical protein
MAEGBODO_00020	CDS	330				hypothetical protein
MAEGBODO_00021	CDS	1206				hypothetical protein
MAEGBODO_00022	CDS	339				hypothetical protein
MAEGBODO_00023	CDS	618				hypothetical protein
MAEGBODO_00024	CDS	306				hypothetical protein
MAEGBODO_00025	CDS	405				hypothetical protein
MAEGBODO_00026	CDS	174				hypothetical protein
MAEGBODO_00027	CDS	426				hypothetical protein
MAEGBODO_00028	CDS	246				hypothetical protein
MAEGBODO_00029	CDS	378				hypothetical protein
MAEGBODO_00030	CDS	405				hypothetical protein
MAEGBODO_00031	CDS	390				hypothetical protein
MAEGBODO_00032	CDS	351				hypothetical protein
MAEGBODO_00033	CDS	312				hypothetical protein
MAEGBODO_00034	CDS	351				hypothetical protein
MAEGBODO_00035	CDS	390				hypothetical protein
MAEGBODO_00036	CDS	1242				hypothetical protein
MAEGBODO_00037	CDS	228				hypothetical protein
MAEGBODO_00038	CDS	873				hypothetical protein
MAEGBODO_00039	CDS	624				hypothetical protein
MAEGBODO_00040	CDS	771				hypothetical protein
MAEGBODO_00041	CDS	534				hypothetical protein
