#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_1225	486631	136	N	N	1	*	1225,-2316
contig_1586	424065	137	N	N	1	*	*,1586
contig_925	365774	124	N	N	1	*	*,925,-1125,-1125,*
contig_748	347611	8	N	N	4	*	748,-2834,*
contig_1037	324939	147	N	N	1	*	1037,2853,*
contig_815	305743	118	N	N	1	*	815,*
contig_2376	220308	48	N	N	24	*	*,2376,2378,2377,2378,2377,2378,2377,2377,2378,2377,2378,2377,2378
contig_1227	197165	113	N	N	1	*	1227,*
contig_2719	191482	136	N	N	1	*	2719,*
contig_1275	182370	103	N	N	1	*	1257,1264,1275,1277,2745,*
contig_2227	170563	106	N	N	1	*	2227,-2428
contig_947	166760	118	N	N	1	*	947
contig_1289	160917	149	N	N	1	*	-2688,1289,*
contig_1276	143944	117	N	N	1	*	*,-2745,-1277,1276
contig_2836	143496	53	N	N	1	*	*,2836,*
contig_2746	141285	142	N	N	1	*	2746
contig_1259	136929	100	N	N	1	*	-1257,1259,*
contig_1582	131813	171	N	N	1	*	1582
contig_1487	131233	99	N	N	1	*	1493,2811,-1493,1487,*
contig_861	130934	139	N	N	1	*	861
contig_130	126558	67	N	N	1	*	-2694,130,*
contig_1512	126251	123	N	N	1	*	-2805,1512
contig_2074	123715	36	N	N	3	*	*,2074,*
scaffold_2532	120859	82	N	N	1	*	-2533,-2532,-1299,??,1299,1300,-1302
contig_2	116488	67	N	N	1	*	*,-1155,-1155,2,*
contig_1711	114789	40	N	N	1	*	*,1711,*
contig_135	114230	111	N	N	1	*	-2695,135,1169
contig_1387	110410	137	N	N	1	*	1385,1387,2807
contig_1358	108384	60	N	N	1	*	*,1358,*
contig_1178	107828	217	Y	N	2	*	1178
contig_1255	107327	90	N	N	1	*	-1257,1255,*
contig_787	104079	5	N	N	1	*	786,-783,787,783,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784
contig_1215	102559	414	Y	N	3	*	1215
contig_2889	101977	52	N	N	2	*	*,2889,*
contig_2001	101420	58	N	N	1	*	*,2001,*
contig_133	98074	93	N	N	1	*	133,985,986,986,986,986,986,986,987,987,987,987,987,987,987,987,987,987,987,988,989,989,989,989,989,989,989,989,989,989,989,989,-988,987,987,987,987,987,987,987,987,987,987,986,986,986,986,986,986,986,986,-985
contig_865	96317	160	N	N	1	*	865,2206
contig_2254	96048	76	N	N	1	*	*,2254,*
contig_1986	95352	14	N	N	1	*	*,1986,*
contig_29	94363	213	N	N	2	*	11,15,17,29,19,20,22
contig_2697	94328	112	N	N	1	*	2697,*
contig_1376	92978	58	N	N	1	*	-2384,1376,-2868,*
contig_2300	88258	32	N	N	1	*	*,2300,*
contig_1726	87507	106	N	N	1	*	*,1726
contig_417	87144	6	N	N	2	*	417
contig_899	87136	48	N	N	1	*	-2713,899,*
contig_2515	86030	91	N	N	1	*	2515,2517,*
