locus_tag	ftype	length_bp	gene	EC_number	COG	product
EIHECHFF_00001	CDS	177				hypothetical protein
EIHECHFF_00002	CDS	669				hypothetical protein
EIHECHFF_00003	CDS	303				hypothetical protein
EIHECHFF_00004	CDS	243				hypothetical protein
EIHECHFF_00005	CDS	270				hypothetical protein
EIHECHFF_00006	CDS	153				hypothetical protein
EIHECHFF_00007	CDS	459				hypothetical protein
EIHECHFF_00008	CDS	276				hypothetical protein
EIHECHFF_00009	CDS	645			COG1974	putative HTH-type transcriptional regulator
EIHECHFF_00010	CDS	204				hypothetical protein
EIHECHFF_00011	CDS	300				hypothetical protein
EIHECHFF_00012	CDS	738				hypothetical protein
EIHECHFF_00013	CDS	657				hypothetical protein
EIHECHFF_00014	CDS	375				hypothetical protein
EIHECHFF_00015	CDS	288				hypothetical protein
EIHECHFF_00016	CDS	345				hypothetical protein
EIHECHFF_00017	CDS	444				hypothetical protein
EIHECHFF_00018	CDS	300				hypothetical protein
EIHECHFF_00019	CDS	354	rusA	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
EIHECHFF_00020	CDS	354				hypothetical protein
EIHECHFF_00021	CDS	189				hypothetical protein
EIHECHFF_00022	CDS	546	dns_1	3.1.21.-	COG2356	Extracellular deoxyribonuclease
EIHECHFF_00023	CDS	162	dns_2	3.1.21.-	COG2356	Extracellular deoxyribonuclease
EIHECHFF_00024	CDS	324				hypothetical protein
EIHECHFF_00025	CDS	327				hypothetical protein
EIHECHFF_00026	CDS	441				hypothetical protein
EIHECHFF_00027	CDS	360				hypothetical protein
EIHECHFF_00028	CDS	2202				hypothetical protein
EIHECHFF_00029	CDS	507				hypothetical protein
EIHECHFF_00030	CDS	321				hypothetical protein
EIHECHFF_00031	CDS	471				hypothetical protein
EIHECHFF_00032	CDS	1227				hypothetical protein
EIHECHFF_00033	CDS	1269				hypothetical protein
EIHECHFF_00034	CDS	840				hypothetical protein
EIHECHFF_00035	CDS	1137				hypothetical protein
EIHECHFF_00036	CDS	501				hypothetical protein
EIHECHFF_00037	CDS	957				hypothetical protein
EIHECHFF_00038	CDS	378				hypothetical protein
EIHECHFF_00039	CDS	501				hypothetical protein
EIHECHFF_00040	CDS	327				hypothetical protein
EIHECHFF_00041	CDS	465				hypothetical protein
EIHECHFF_00042	CDS	1512				hypothetical protein
EIHECHFF_00043	CDS	432				hypothetical protein
EIHECHFF_00044	CDS	417				hypothetical protein
EIHECHFF_00045	CDS	1434				hypothetical protein
EIHECHFF_00046	CDS	255				hypothetical protein
EIHECHFF_00047	CDS	327				hypothetical protein
EIHECHFF_00048	CDS	474				hypothetical protein
EIHECHFF_00049	CDS	270				hypothetical protein
EIHECHFF_00050	CDS	186				hypothetical protein
EIHECHFF_00051	CDS	534				hypothetical protein
EIHECHFF_00052	CDS	399				hypothetical protein
EIHECHFF_00053	CDS	342				hypothetical protein
EIHECHFF_00054	CDS	327				hypothetical protein
EIHECHFF_00055	CDS	753				hypothetical protein
EIHECHFF_00056	CDS	705				hypothetical protein
EIHECHFF_00057	CDS	573				hypothetical protein
EIHECHFF_00058	CDS	438				hypothetical protein
EIHECHFF_00059	CDS	183				hypothetical protein
EIHECHFF_00060	CDS	264				hypothetical protein
EIHECHFF_00061	CDS	432				hypothetical protein
EIHECHFF_00062	CDS	366				hypothetical protein
EIHECHFF_00063	CDS	804				hypothetical protein
EIHECHFF_00064	CDS	237				hypothetical protein
EIHECHFF_00065	CDS	654				hypothetical protein
EIHECHFF_00066	CDS	1554				hypothetical protein
EIHECHFF_00067	CDS	453	tfaE_1			Prophage tail fiber assembly protein TfaE
EIHECHFF_00068	CDS	246				hypothetical protein
EIHECHFF_00069	CDS	468				hypothetical protein
EIHECHFF_00070	CDS	1173	intS		COG0582	Prophage integrase IntS
EIHECHFF_00071	CDS	213				hypothetical protein
EIHECHFF_00072	CDS	126				hypothetical protein
EIHECHFF_00073	CDS	801	recT_1		COG3723	Protein RecT
EIHECHFF_00074	CDS	819	recE_1	3.1.11.-		Exodeoxyribonuclease 8
EIHECHFF_00075	CDS	345				hypothetical protein
EIHECHFF_00076	CDS	291				hypothetical protein
EIHECHFF_00077	CDS	291				hypothetical protein
EIHECHFF_00078	CDS	345				hypothetical protein
EIHECHFF_00079	CDS	819	recE_2	3.1.11.-		Exodeoxyribonuclease 8
EIHECHFF_00080	CDS	156				hypothetical protein
EIHECHFF_00081	CDS	570	recT_2		COG3723	Protein RecT
EIHECHFF_00082	CDS	375				Single-stranded DNA-binding protein
EIHECHFF_00083	CDS	876				hypothetical protein
EIHECHFF_00084	CDS	267				hypothetical protein
EIHECHFF_00085	CDS	360				hypothetical protein
EIHECHFF_00086	CDS	255				hypothetical protein
EIHECHFF_00087	CDS	192				hypothetical protein
EIHECHFF_00088	CDS	282				hypothetical protein
EIHECHFF_00089	CDS	360				hypothetical protein
EIHECHFF_00090	CDS	375				hypothetical protein
EIHECHFF_00091	CDS	222	lexA	3.4.21.88	COG1974	LexA repressor
EIHECHFF_00092	CDS	225				hypothetical protein
EIHECHFF_00093	CDS	1023				hypothetical protein
EIHECHFF_00094	CDS	246				hypothetical protein
EIHECHFF_00095	CDS	612	tfaE_2			Prophage tail fiber assembly protein TfaE
EIHECHFF_00096	CDS	1263				hypothetical protein
EIHECHFF_00097	CDS	2826	smc			Chromosome partition protein Smc
EIHECHFF_00098	CDS	231				hypothetical protein
EIHECHFF_00099	CDS	324				hypothetical protein
