scaffold	length	cov	circ	repeat.	mult	alt_grp	graph_path	prediction	type	Quality	COMPLETENESS.score.	SPECIFIC_KEYWORD	TOTAL_PROTEIN_NUM	PHAGE_HIT_PROTEIN_NUM	ATT_SITE_SHOWUP	MOST_COMMON_PHAGE_NAME.hit_genes_count.	engel_match_per	matt_match_len	engel_match_len	matt_match	engel_match	matt_match_per	match	deepvir	metaphinder	PPRmeta	vibrant	virfinder	virsorter	virsorter_virome	vibrant_virome	phaster
contig_1000	24740	22	N	N	1	*	-1318,-1317,-999,-990,-990,1000,*	virus	lysogenic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
contig_1017	85319	101	N	N	1	*	1008,1009,1010,1016,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,-1016,-1009,-1008,-1007,-1012,-1012,-1011,1017,-1257	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	89.174	3303.875	5176	MN856090	JAAOBB010000068.1	89.026375	both	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
contig_1025	3094	22	N	Y	1	*	1025	organism	lytic	low quality draft	NA	NA	NA	NA	NA	NA	92.5865	1547.5	1542.5	MN856090	JAAOBB010000062.1	91.605	both	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
contig_1030	22983	129	N	N	1	*	-1023,-1022,1021,1022,1023,-1023,1022,1023,-1023,-1022,1022,1023,1030,1808,1809,1810,1810,1810,-1810,-1810,-1809,-1808	virus	lytic	low quality draft	incomplete(30)	lysin	35	13	no	PHAGE_Arthro_PrincessTrina_NC_042053(2),PHAGE_Lactob_phiPYB5_NC_027982(1),PHAGE_Entero_EF62phi_NC_017732(1),PHAGE_Mycoba_Wildcat_NC_008206(1),PHAGE_Mycoba_Rumpelstiltskin_NC_023732(1),PHAGE_Mycoba_Gardann_NC_031124(1),PHAGE_Arthro_Colucci_NC_042000(1),PHAGE_Microb_Pikmin_NC_042119(1),PHAGE_Lactob_LfeInf_NC_029058(1),PHAGE_Arthro_vB_ArtM_ArV1_NC_026606(1),PHAGE_Mycoba_Whirlwind_NC_022052(1),PHAGE_Mycoba_Snenia_NC_028778(1),PHAGE_Mycoba_Crossroads_NC_022071(1)	91.1018421052632	1780.25	929.157894736842	MN856090	JAAOBB010000053.1	89.0225833333333	both	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
contig_1031	27415	24	N	N	6	*	1028,1031,*	virus	lytic	low quality draft	incomplete(30)	recombinase	22	13	no	PHAGE_Entero_c_1_NC_019706(2),PHAGE_Edward_GF_2_NC_026611(2),PHAGE_Escher_vB_EcoM_ep3_NC_025430(1),PHAGE_Mycoba_Goku_NC_022085(1),PHAGE_Cellul_phi10:1_NC_021802(1),PHAGE_Escher_vB_EcoM_ECO1230_10_NC_027995(1),PHAGE_Entero_933W_NC_000924(1),PHAGE_Stx2_vB_EcoP_24B_NC_027984(1),PHAGE_Escher_PA2_NC_028449(1),PHAGE_Entero_Min27_NC_010237(1),PHAGE_Stx2_c_86_NC_008464(1),PHAGE_Salmon_IME207_NC_031924(1),PHAGE_Shigel_Ss_VASD_NC_028685(1),PHAGE_Mycoba_Eureka_NC_041850(1),PHAGE_Mycoba_Contagion_NC_022065(1),PHAGE_Entero_phi80_NC_021190(1),PHAGE_Entero_VT2phi_272_NC_028656(1),PHAGE_Escher_TL_2011c_NC_019442(1),PHAGE_Escher_phi191_NC_028660(1),PHAGE_Pseudo_vB_PaeP_Tr60_Ab31_NC_023575(1),PHAGE_Escher_vB_EcoM_ECOO78_NC_041926(1),PHAGE_Paraco_Shpa_NC_041868(1),PHAGE_Mycoba_Bruin_NC_022988(1),PHAGE_Pseudo_YMC11/02/R656_NC_028657(1),PHAGE_Salmon_II_E1_NC_010495(1),PHAGE_Entero_HK633_NC_019719(1),PHAGE_Mycoba_Nala_NC_022976(1),PHAGE_Pseudo_PS_1_NC_029066(1)	89.1466666666667	1701	2143	MN856090	JAAOBB010000053.1	87.441	both	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
contig_1032	2204	11	N	N	1	*	*,1032,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	88.569	1029	1041	MN856088	JAAOBB010000099.1	88.921	both	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
contig_1033	2823	425	N	N	14	*	*,1033,*	organism	lytic	low quality draft	NA	NA	NA	NA	NA	NA	84.265	2518	2523	MN855721	JAAOBB010000051.1	85.941	both	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
contig_1037	324939	147	N	N	1	*	1037,2853,*	organism	NA	NA	incomplete(20)	tail	6	6	no	PHAGE_Agroba_Atu_ph07_NC_042013(1),PHAGE_Bacill_vB_BanS_Tsamsa_NC_023007(1),PHAGE_Yersin_phiR1_37_NC_016163(1),PHAGE_Geobac_E3_NC_029073(1),PHAGE_Bacill_AR9_NC_031039(1),PHAGE_Bacill_SP_15_NC_031245(1),PHAGE_Bacill_PBS1_NC_043027(1),PHAGE_Bacill_G_NC_023719(1)	NA	NA	NA	NA	NA	NA	none	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
contig_1040	6658	38	N	Y	1	*	1040	virus	lysogenic	low quality draft	incomplete(20)	integrase	9	6	no	PHAGE_Lactob_Lv_1_NC_011801(2),PHAGE_Lactob_LBR48_NC_027990(1),PHAGE_Lister_LP_101_NC_024387(1),PHAGE_Lactob_JCL1032_NC_019456(1),PHAGE_Lactob_Sha1_NC_019489(1),PHAGE_Strept_APCM01_NC_029030(1),PHAGE_Clostr_phiCT19406C_NC_029006(1),PHAGE_Lactob_LF1_NC_019486(1),PHAGE_Lactob_phiadh_NC_000896(1),PHAGE_Lactob_jlb1_NC_024206(1),PHAGE_Lactob_phiJB_NC_022775(1)	87.3773333333333	491	507.333333333333	MN855735	JAAOBB010000175.1	86.965	both	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
contig_1045	6963	130	N	N	5	*	*,1045,*	virus	lytic	low quality draft	incomplete(50)	terminase,portal	9	9	no	PHAGE_Lactob_KC5a_NC_007924(3),PHAGE_Lactob_LfeSau_NC_029068(2),PHAGE_Lactob_jlb1_NC_024206(2),PHAGE_Lactob_phiAQ113_NC_019782(2),PHAGE_Lactob_phiJB_NC_022775(2),PHAGE_Lactob_Lj771_NC_010179(2),PHAGE_Lactob_ATCC8014_NC_019916(1),PHAGE_Lactob_JCL1032_NC_019456(1),PHAGE_Staphy_K_NC_005880(1),PHAGE_Bacill_phi4B1_NC_028886(1),PHAGE_Strept_phiARI0131_1_NC_031901(1),PHAGE_Lactob_phiPYB5_NC_027982(1),PHAGE_Staphy_Team1_NC_025417(1),PHAGE_Lactob_CL2_NC_028835(1),PHAGE_Strept_phiARI0462_NC_031942(1),PHAGE_Lactob_Lj928_NC_005354(1),PHAGE_Lactob_CL1_NC_028888(1),PHAGE_Pedioc_clP1_NC_016161(1),PHAGE_Bacill_G_NC_023719(1),PHAGE_Entero_phiFL1A_NC_013646(1),PHAGE_Staphy_812_NC_029080(1),PHAGE_Staphy_G1_NC_007066(1),PHAGE_Lactoc_PLgT_1_NC_031016(1),PHAGE_Lactob_Lv_1_NC_011801(1),PHAGE_Lactob_iLp1308_NC_028911(1)	91.4902	1652.33333333333	1029.4	MN856014	JAAOBB010000007.1	92.295	both	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
