CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	+	57	359	303	circular_read_610	prodigal	+	57	359	303	circular_read_610	
2							phanotate	+	356	691	336	circular_read_610	prodigal	+	356	691	336	circular_read_610	
3	glimmer	+	688	1257	570	circular_read_610	phanotate	+	688	1257	570	circular_read_610	prodigal	+	688	1257	570	circular_read_610	
4							phanotate	+	1254	1553	300	circular_read_610	prodigal	+	1254	1553	300	circular_read_610	
5	glimmer	+	1434	1553	120	circular_read_610													
6							phanotate	+	1633	1797	165	circular_read_610							
7							phanotate	+	1927	2019	93	circular_read_610							
8							phanotate	+	2044	2133	90	circular_read_610							
9							phanotate	+	2235	2519	285	circular_read_610	prodigal	+	2235	2519	285	circular_read_610	
10							phanotate	+	2479	2658	180	circular_read_610							
11							phanotate	-	2822	2956	135	circular_read_610							
12							phanotate	+	2935	3090	156	circular_read_610							
13							phanotate	+	3225	3335	111	circular_read_610							
14							phanotate	+	3425	3541	117	circular_read_610							
15							phanotate	-	3622	3768	147	circular_read_610							
16	glimmer	-	3850	3984	135	circular_read_610	phanotate	-	3850	3984	135	circular_read_610							
17							phanotate	+	4041	4142	102	circular_read_610							
18							phanotate	+	4195	4287	93	circular_read_610							
19							phanotate	-	4272	4487	216	circular_read_610							
20	glimmer	-	4382	4504	123	circular_read_610													
21							phanotate	-	4494	4631	138	circular_read_610							
22	glimmer	-	4580	4747	168	circular_read_610													
23							phanotate	-	4606	4728	123	circular_read_610							
24							phanotate	-	4738	4896	159	circular_read_610							
25	glimmer	-	4738	4929	192	circular_read_610													
26	glimmer	-	4962	5165	204	circular_read_610	phanotate	-	4962	5165	204	circular_read_610							
27													prodigal	+	5169	5303	135	circular_read_610	
28	glimmer	-	5225	5392	168	circular_read_610	phanotate	-	5225	5392	168	circular_read_610							
29	glimmer	-	5454	5597	144	circular_read_610													
30							phanotate	-	5483	5578	96	circular_read_610							
31							phanotate	-	5536	5748	213	circular_read_610							
32	glimmer	+	5673	5831	159	circular_read_610													
33	glimmer	-	5803	6051	249	circular_read_610	phanotate	-	5803	6051	249	circular_read_610							
34	glimmer	-	6061	6252	192	circular_read_610	phanotate	-	6061	6252	192	circular_read_610							
35							phanotate	-	6228	6317	90	circular_read_610							
36	glimmer	-	6341	6460	120	circular_read_610	phanotate	-	6341	6460	120	circular_read_610							
37	glimmer	+	6675	6938	264	circular_read_610													
38							phanotate	+	6687	6938	252	circular_read_610	prodigal	+	6687	6938	252	circular_read_610	
39							phanotate	+	6901	7050	150	circular_read_610							
40	glimmer	+	7212	7328	117	circular_read_610	phanotate	+	7212	7328	117	circular_read_610							
41	glimmer	+	7343	7639	297	circular_read_610							prodigal	+	7343	7639	297	circular_read_610	
42							phanotate	+	7361	7639	279	circular_read_610							
43	glimmer	-	7605	7727	123	circular_read_610	phanotate	-	7605	7727	123	circular_read_610							
44	glimmer	-	7970	8131	162	circular_read_610	phanotate	-	7970	8131	162	circular_read_610							
45							phanotate	-	8180	8362	183	circular_read_610							
46	glimmer	-	8180	8431	252	circular_read_610													
47	glimmer	-	8413	8547	135	circular_read_610	phanotate	-	8413	8547	135	circular_read_610							
48							phanotate	+	8653	8841	189	circular_read_610	prodigal	+	8653	8841	189	circular_read_610	
49	glimmer	+	8869	8991	123	circular_read_610							prodigal	+	8869	8991	123	circular_read_610	
50							phanotate	+	8887	8991	105	circular_read_610							
51	glimmer	-	9057	9284	228	circular_read_610	phanotate	-	9057	9284	228	circular_read_610							
