ID	START	STOP	STRAND	SCORE	METHOD	CONTIG
1_1	1	123	-	3.2	Prodigal_v2.6.3	scaffold_1042
1_2	1474	1707	-	8.6	Prodigal_v2.6.3	scaffold_1042
1_3	1796	2278	+	44.9	Prodigal_v2.6.3	scaffold_1042
1_4	2293	2799	+	51.3	Prodigal_v2.6.3	scaffold_1042
1_5	3428	3934	-	51.3	Prodigal_v2.6.3	scaffold_1042
1_6	3949	4431	-	47.6	Prodigal_v2.6.3	scaffold_1042
1_7	4520	4750	+	8.7	Prodigal_v2.6.3	scaffold_1042
1_8	4757	4957	+	3.9	Prodigal_v2.6.3	scaffold_1042
1_9	4950	5159	+	7.9	Prodigal_v2.6.3	scaffold_1042
1_10	5215	5757	+	56.0	Prodigal_v2.6.3	scaffold_1042
1_11	5772	6278	+	53.5	Prodigal_v2.6.3	scaffold_1042
1_12	7177	7320	+	14.6	Prodigal_v2.6.3	scaffold_1042
1_13	7295	8539	+	121.7	Prodigal_v2.6.3	scaffold_1042
1_14	8552	9430	+	78.4	Prodigal_v2.6.3	scaffold_1042
1_15	9399	9965	+	49.9	Prodigal_v2.6.3	scaffold_1042
1_16	9949	11778	+	199.2	Prodigal_v2.6.3	scaffold_1042
1_17	11765	11986	+	29.2	Prodigal_v2.6.3	scaffold_1042
1_18	12045	12659	+	94.3	Prodigal_v2.6.3	scaffold_1042
1_19	12675	13583	+	113.9	Prodigal_v2.6.3	scaffold_1042
1_20	13593	13940	+	43.9	Prodigal_v2.6.3	scaffold_1042
1_21	13930	14235	+	21.4	Prodigal_v2.6.3	scaffold_1042
1_22	14228	14608	+	36.1	Prodigal_v2.6.3	scaffold_1042
1_23	14605	14994	+	32.7	Prodigal_v2.6.3	scaffold_1042
1_24	15008	15619	+	91.5	Prodigal_v2.6.3	scaffold_1042
1_25	15642	16004	+	38.2	Prodigal_v2.6.3	scaffold_1042
1_26	16037	16420	+	27.8	Prodigal_v2.6.3	scaffold_1042
1_27	16422	19715	+	407.3	Prodigal_v2.6.3	scaffold_1042
1_28	19715	20524	+	98.5	Prodigal_v2.6.3	scaffold_1042
1_29	20521	21978	+	169.8	Prodigal_v2.6.3	scaffold_1042
1_30	21979	22377	+	48.0	Prodigal_v2.6.3	scaffold_1042
1_31	22374	22562	+	13.8	Prodigal_v2.6.3	scaffold_1042
1_32	22543	24090	+	227.4	Prodigal_v2.6.3	scaffold_1042
1_33	24107	24406	+	38.8	Prodigal_v2.6.3	scaffold_1042
1_34	24422	24889	+	56.9	Prodigal_v2.6.3	scaffold_1042
1_35	25157	25405	+	15.3	Prodigal_v2.6.3	scaffold_1042
1_36	25378	25647	+	15.6	Prodigal_v2.6.3	scaffold_1042
1_37	25679	26002	+	42.6	Prodigal_v2.6.3	scaffold_1042
1_38	25989	26786	+	83.5	Prodigal_v2.6.3	scaffold_1042
1_39	26925	27308	+	32.8	Prodigal_v2.6.3	scaffold_1042
1_40	27891	28274	-	34.0	Prodigal_v2.6.3	scaffold_1042
1_41	28413	28754	-	7.2	Prodigal_v2.6.3	scaffold_1042
1_42	28787	29140	-	6.8	Prodigal_v2.6.3	scaffold_1042
1_43	29271	29405	-	5.8	Prodigal_v2.6.3	scaffold_1042
1_44	29604	29780	-	3.6	Prodigal_v2.6.3	scaffold_1042
1_45	29793	30047	-	11.0	Prodigal_v2.6.3	scaffold_1042
1_46	30314	30727	-	48.2	Prodigal_v2.6.3	scaffold_1042
1_47	30752	31129	-	38.2	Prodigal_v2.6.3	scaffold_1042
1_48	31119	31574	-	42.4	Prodigal_v2.6.3	scaffold_1042
1_49	31587	32147	-	45.7	Prodigal_v2.6.3	scaffold_1042
1_50	32116	32664	-	58.6	Prodigal_v2.6.3	scaffold_1042
1_51	32671	33339	-	55.1	Prodigal_v2.6.3	scaffold_1042
1_52	33515	33754	+	22.9	Prodigal_v2.6.3	scaffold_1042
1_53	33761	34837	+	117.2	Prodigal_v2.6.3	scaffold_1042
1_54	34850	35305	+	42.4	Prodigal_v2.6.3	scaffold_1042
1_55	35295	35672	+	38.2	Prodigal_v2.6.3	scaffold_1042
1_56	35697	36110	+	48.8	Prodigal_v2.6.3	scaffold_1042
1_57	36110	36265	+	5.4	Prodigal_v2.6.3	scaffold_1042
1_58	36240	36629	+	20.1	Prodigal_v2.6.3	scaffold_1042
1_59	38194	38499	+	23.7	Prodigal_v2.6.3	scaffold_1042
1_60	38970	39101	+	9.0	Prodigal_v2.6.3	scaffold_1042
1_61	39216	39449	-	9.1	Prodigal_v2.6.3	scaffold_1042
1_62	39653	39811	+	10.3	Prodigal_v2.6.3	scaffold_1042
1_63	40117	40920	-	84.3	Prodigal_v2.6.3	scaffold_1042
1_64	41070	41228	-	5.9	Prodigal_v2.6.3	scaffold_1042
1_65	41341	42669	-	148.9	Prodigal_v2.6.3	scaffold_1042
1_66	42813	43247	-	47.1	Prodigal_v2.6.3	scaffold_1042
1_67	43394	43630	+	20.6	Prodigal_v2.6.3	scaffold_1042
1_68	43752	43961	+	24.3	Prodigal_v2.6.3	scaffold_1042
1_69	44005	44412	-	45.8	Prodigal_v2.6.3	scaffold_1042
1_70	44412	44762	-	57.1	Prodigal_v2.6.3	scaffold_1042
1_71	45013	45222	+	21.0	Prodigal_v2.6.3	scaffold_1042
1_72	46034	46555	-	28.8	Prodigal_v2.6.3	scaffold_1042
1_73	46567	47061	-	50.2	Prodigal_v2.6.3	scaffold_1042
1_74	47040	47402	-	34.3	Prodigal_v2.6.3	scaffold_1042
1_75	47392	47511	-	3.0	Prodigal_v2.6.3	scaffold_1042
1_76	47537	47761	-	16.1	Prodigal_v2.6.3	scaffold_1042
1_77	47748	47888	-	4.2	Prodigal_v2.6.3	scaffold_1042
1_78	48080	48388	-	14.0	Prodigal_v2.6.3	scaffold_1042
1_79	48330	49379	-	128.6	Prodigal_v2.6.3	scaffold_1042
1_80	49376	50167	-	79.8	Prodigal_v2.6.3	scaffold_1042
1_81	50170	50364	-	25.0	Prodigal_v2.6.3	scaffold_1042
1_82	50377	50760	-	50.7	Prodigal_v2.6.3	scaffold_1042
1_83	50708	50947	-	28.0	Prodigal_v2.6.3	scaffold_1042
1_84	50947	51678	-	60.9	Prodigal_v2.6.3	scaffold_1042
1_85	51675	52091	-	43.3	Prodigal_v2.6.3	scaffold_1042
1_86	52066	52353	-	15.7	Prodigal_v2.6.3	scaffold_1042
1_87	52637	53065	-	30.0	Prodigal_v2.6.3	scaffold_1042
1_88	53198	53338	-	17.0	Prodigal_v2.6.3	scaffold_1042
1_89	53348	53827	-	65.9	Prodigal_v2.6.3	scaffold_1042
1_90	53868	54050	-	0.1	Prodigal_v2.6.3	scaffold_1042
1_91	54070	54411	-	39.9	Prodigal_v2.6.3	scaffold_1042
1_92	54548	54766	+	31.3	Prodigal_v2.6.3	scaffold_1042
1_93	54717	54902	-	6.8	Prodigal_v2.6.3	scaffold_1042
1_94	54909	55127	-	23.8	Prodigal_v2.6.3	scaffold_1042
1_95	55399	55749	+	44.1	Prodigal_v2.6.3	scaffold_1042
1_96	55749	56099	+	34.3	Prodigal_v2.6.3	scaffold_1042
1_97	56201	56767	-	76.3	Prodigal_v2.6.3	scaffold_1042
1_98	56907	57341	+	47.8	Prodigal_v2.6.3	scaffold_1042
1_99	57485	58039	+	22.7	Prodigal_v2.6.3	scaffold_1042
1_100	58057	58785	+	103.0	Prodigal_v2.6.3	scaffold_1042
1_101	58912	60024	+	122.7	Prodigal_v2.6.3	scaffold_1042
1_102	59939	60232	-	-0.4	Prodigal_v2.6.3	scaffold_1042
1_103	60247	60606	-	46.5	Prodigal_v2.6.3	scaffold_1042
