CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	+	1	297	297	circular_pair_2652	prodigal	+	1	297	297	circular_pair_2652	
2	glimmer	+	331	456	126	circular_pair_2652													
3							phanotate	+	355	456	102	circular_pair_2652	prodigal	+	355	456	102	circular_pair_2652	
4	glimmer	+	458	901	444	circular_pair_2652	phanotate	+	458	901	444	circular_pair_2652	prodigal	+	458	901	444	circular_pair_2652	
5							phanotate	-	948	1097	150	circular_pair_2652	prodigal	-	948	1097	150	circular_pair_2652	
6							phanotate	+	1175	1378	204	circular_pair_2652							
7	glimmer	+	1291	1404	114	circular_pair_2652													
8							phanotate	+	1392	1481	90	circular_pair_2652							
9							phanotate	-	1519	1626	108	circular_pair_2652							
10							phanotate	-	1629	1754	126	circular_pair_2652							
11							phanotate	-	1870	1977	108	circular_pair_2652							
12							phanotate	+	2005	2151	147	circular_pair_2652							
13	glimmer	+	2130	2303	174	circular_pair_2652													
14							phanotate	+	2166	2303	138	circular_pair_2652							
15							phanotate	+	2417	2722	306	circular_pair_2652	prodigal	+	2417	2722	306	circular_pair_2652	
16	glimmer	-	2497	2622	126	circular_pair_2652													
17							phanotate	+	2834	3229	396	circular_pair_2652	prodigal	+	2834	3229	396	circular_pair_2652	
18	glimmer	+	2901	3029	129	circular_pair_2652													
19	glimmer	+	3308	3607	300	circular_pair_2652													
20							phanotate	+	3317	3607	291	circular_pair_2652	prodigal	+	3317	3607	291	circular_pair_2652	
21							phanotate	+	3671	3979	309	circular_pair_2652	prodigal	+	3671	3979	309	circular_pair_2652	
22							phanotate	-	4168	4293	126	circular_pair_2652							
