Genome	Flye.length	Flye.cov	Flye.circ	IsPhage	Vibrant.prediction	Vibrant.type	Vibrant.Quality	Phaster.COMPLETENESS.score	Phaster.SPECIFIC_KEYWORD	Phaster.TOTAL_PROTEIN_NUM	Phaster.PHAGE_HIT_PROTEIN_NUM	Phaster.MOST_COMMON_PHAGE_NAME.hit_genes_count	vHulk.pred	VC	VC.Status	VC.Size	VC.Subcluster	VC.Subcluster.Size	VC.Quality	VC.members			virusTax	jtHost	crisprhit	mattInfo	bonillaInfo	CrisprDB
scaffold_1970	74652	46	N	TRUE	virus	lytic	high quality draft	NA	NA	NA	NA	NA	Bacillus	100_0	Clustered	21	VC_100_0	21	0.5999	JAAOBB010000114.1,JAAOBB010000115.1,JAAOBB010000116.1,JAAOBB010000117.1,JAAOBB010000118.1,JAAOBB010000120.1,JAAOBB010000121.1,JAAOBB010000122.1,JAAOBB010000123.1,JAAOBB010000124.1,JAAOBB010000125.1,JAAOBB010000126.1,JAAOBB010000128.1,JAAOBB010000129.1,JAAOBB010000130.1,JAAOBB010000131.1,JAAOBB010000132.1,JAAOBB010000133.1,JAAOBB010000134.1,MN855676,scaffold_1970	3	#VALUE!	Podoviridae	Bifidobacterium	Bifidobacterium asteroides	nan,nan,18448	Bifidobacterium,lytic,Caudo:Podoviridae,528154	Bifidobacterium
contig_2080	31343	709	Y	TRUE	virus	lytic	medium quality draft	NA	NA	NA	NA	NA	None	106_0	Clustered	13	VC_106_0	13	0.5255	JAAOBB010000051.1,JAAOBB010000053.1,JAAOBB010000054.1,JAAOBB010000056.1,JAAOBB010000057.1,JAAOBB010000058.1,JAAOBB010000062.1,MN855721,MN855722,MN855736,MN856054,MN856090,contig_2080	3	172	Myoviridae	Bifidobacterium	Bifidobacterium asteroides	Myoviridae, nan, Mixed, nan, Myoviridae,nan, Bifidobacterium, nan, nan, Bifidobacterium,32306, 32202, 32162, 32049, 31866	Bifidobacterium,lytic,unclassified,302792	Bifidobacterium
contig_1156	44976	207	N	TRUE	virus	lytic	high quality draft	intact(100),incomplete(20)	terminase,portal,head,tail	19,36	16,22	PHAGE_Lactob_Lj965_NC_005355(2),PHAGE_Oenoco_phiS13_NC_023560(2),PHAGE_Oenoco_phi9805_NC_023559(2),PHAGE_Oenoco_phiS11_NC_023571(2),PHAGE_Deep_s_D6E_NC_019544(2),PHAGE_Lactob_PLE3_NC_031125(2),PHAGE_Entero_phiFL2A_NC_013643(2),PHAGE_Entero_phiFL1A_NC_013646(2),PHAGE_Idioma_1N2_2_NC_025439(1),PHAGE_Lister_A118_NC_003216(1),PHAGE_Lactob_phig1e_NC_004305(1),PHAGE_Vibrio_VBM1_NC_020850(1),PHAGE_Lactob_CL2_NC_028835(1),PHAGE_Strept_phiARI0031_NC_031910(1),PHAGE_Bacill_SPO1_NC_011421(1),PHAGE_Lactob_Lj928_NC_005354(1),PHAGE_Brevib_Sundance_NC_028749(1),PHAGE_Strept_IC1_NC_024370(1),PHAGE_Geobac_E2_NC_009552(1),PHAGE_Bacill_PM1_NC_020883(1),PHAGE_Clostr_phiMMP02_NC_019421(1),PHAGE_Lister_A006_NC_009815(1),PHAGE_Entero_vB_IME197_NC_028671(1),PHAGE_Entero_phiFL3A_NC_013648(1),PHAGE_Clostr_phiCD505_NC_028764(1),PHAGE_Lactob_LfeSau_NC_029068(1),PHAGE_Lactob_J_1_NC_022756(1),PHAGE_Clostr_phiCT19406C_NC_029006(1),PHAGE_Geobac_TP_84_NC_041918(1),PHAGE_Clostr_phiMMP03_NC_028959(1),PHAGE_Bacill_BMBtpLA_NC_028748(1),PHAGE_Lactob_KC5a_NC_007924(1),PHAGE_Bacill_SP_10_NC_019487(1),PHAGE_Entero_phiEf11_NC_013696(1),PHAGE_Clostr_phiCDHM19_NC_028996(1),PHAGE_Lactob_CL1_NC_028888(1),PHAGE_Clostr_CDMH1_NC_024144(1),PHAGE_Pseudo_PaBG_NC_022096(1),PHAGE_Lactob_PL_1_NC_022757(1),PHAGE_Acinet_AB1_NC_042028(1),PHAGE_Strept_phiARI0468_1_NC_031929(1),PHAGE_Lactob_iLp1308_NC_028911(1),PHAGE_Bacill_SIOphi_NC_042133(1),PHAGE_Lactob_PLE3_NC_031125(5),PHAGE_Lactob_iLp84_NC_028783(4),PHAGE_Lactob_LfeSau_NC_029068(3),PHAGE_Lactoc_TP901_1_NC_002747(3),PHAGE_Brocho_NF5_NC_015252(2),PHAGE_Lactob_iA2_NC_028830(2),PHAGE_Lactob_LF1_NC_019486(2),PHAGE_Lactoc_Tuc2009_NC_002703(2),PHAGE_Lactob_CL1_NC_028888(2),PHAGE_Lactob_iLp1308_NC_028911(2),PHAGE_Paenib_Fern_NC_028851(1),PHAGE_Weisse_WCP30_NC_031101(1),PHAGE_Staphy_StB20_like_NC_028821(1),PHAGE_Bacill_Page_NC_022764(1),PHAGE_Brocho_BL3_NC_015254(1),PHAGE_Staphy_29_NC_007061(1),PHAGE_Lactob_CL2_NC_028835(1),PHAGE_Clostr_phiCD6356_NC_015262(1),PHAGE_Strept_EJ_1_NC_005294(1),PHAGE_Entero_EF62phi_NC_017732(1),PHAGE_Brevib_Sundance_NC_028749(1),PHAGE_Clostr_phiCT19406B_NC_030947(1),PHAGE_Clostr_phiMMP04_NC_019422(1),PHAGE_Staphy_37_NC_007055(1),PHAGE_Lactob_Lv_1_NC_011801(1),PHAGE_Leucon_Lmd1_NC_018273(1),PHAGE_Lactob_ATCC8014_NC_019916(1),PHAGE_Deep_s_D6E_NC_019544(1),PHAGE_Clostr_phiCTC2B_NC_030951(1),PHAGE_Paenib_Willow_NC_041867(1),PHAGE_Lactoc_BM13_NC_021861(1),PHAGE_Lactob_Lc_Nu_NC_007501(1),PHAGE_Staphy_88_NC_007063(1),PHAGE_Strept_9874_NC_031023(1),PHAGE_Bacill_Pavlov_NC_028782(1),PHAGE_Leucon_phiLN34_NC_024388(1),PHAGE_Brevib_Osiris_NC_028969(1),PHAGE_Brevib_Davies_NC_022980(1),PHAGE_Strept_9871_NC_031069(1),PHAGE_Entero_AUEF3_NC_042134(1),PHAGE_Staphy_CNPx_NC_031241(1),PHAGE_Strept_9872_NC_031094(1),PHAGE_Lister_B054_NC_009813(1),PHAGE_Strept_SMP_NC_008721(1),PHAGE_Lactob_A2_NC_004112(1),PHAGE_Thermo_THSA_485A_NC_018264(1),PHAGE_Lactoc_r1t_NC_004302(1),PHAGE_Bacill_Palmer_NC_028926(1),PHAGE_Lactoc_28201_NC_031013(1),PHAGE_Pedioc_clP1_NC_016161(1),PHAGE_Clostr_CDMH1_NC_024144(1),PHAGE_Lactob_Lrm1_NC_011104(1),PHAGE_Leucon_phiLN6B_NC_024380(1),PHAGE_Lactob_phiAT3_NC_005893(1),PHAGE_Lactob_phiJB_NC_022775(1),PHAGE_Lister_LP_030_3_NC_024384(1)	Lactobacillus	109_0	Clustered	3	VC_109_0	3	0.1797	JAAOBB010000017.1,MN856006,contig_1156	3	28	Siphoviridae	Lactobacillus Firm-4	NA	Siphoviridae,nan,41188	F4,temperate,unclassified,84281	NA
contig_1822	19223	80	N	TRUE	virus	lysogenic	low quality draft	NA	NA	NA	NA	NA	None	157_0	Clustered	4	VC_157_0	4	0.2647	JAAOBB010000024.1,MN856037,contig_1822,contig_2536	3	28	Myoviridae	Gilliamella	Gilliamella apicola	Myoviridae,nan,8131	Gilliamella,temperate,unclassified,204407	Gilliamella
contig_2536	28829	20	N	TRUE	virus	lysogenic	low quality draft	NA	NA	NA	NA	NA	None	157_0	Clustered	4	VC_157_0	4	0.2647	JAAOBB010000024.1,MN856037,contig_1822,contig_2536	3	28	Myoviridae	Gilliamella	Gilliamella apicola	Myoviridae,nan,8131	Gilliamella,temperate,unclassified,204407	Gilliamella
contig_1749	16676	689	N	TRUE	virus	lytic	low quality draft	incomplete(20)	head	26	22	PHAGE_Rhizob_16_3_NC_011103(7),PHAGE_Brucel_BiPBO1_NC_031264(7),PHAGE_Paraco_Shpa_NC_041868(5),PHAGE_Burkho_phi1026b_NC_005284(2),PHAGE_Xantho_OP1_NC_007709(1),PHAGE_Xantho_Xop411_NC_009543(1),PHAGE_Pseudo_PaMx42_NC_028879(1),PHAGE_Entero_mEp235_NC_019708(1),PHAGE_Pseudo_PMG1_NC_016765(1),PHAGE_Xantho_Xp10_NC_004902(1),PHAGE_Xantho_phiL7_NC_012742(1),PHAGE_Edward_GF_2_NC_026611(1),PHAGE_Geobac_GBK2_NC_023612(1),PHAGE_Salmon_118970_sal3_NC_031940(1),PHAGE_Pseudo_MP1412_NC_018282(1),PHAGE_Pseudo_D3_NC_002484(1),PHAGE_Xantho_CP1_NC_019933(1),PHAGE_Shigel_SfII_NC_021857(1),PHAGE_Pseudo_phi2_NC_030931(1),PHAGE_Pseudo_YMC11/07/P54_PAE_BP_NC_030909(1),PHAGE_Entero_phiP27_NC_003356(1),PHAGE_Strept_phiSASD1_NC_014229(1),PHAGE_Pseudo_M6_NC_007809(1)	None	181_0	Clustered	8	VC_181_0	8	0.5174	JAAOBB010000021.1,JAAOBB010000023.1,MN855962,MN856050,MN856062,contig_1749,contig_2052,contig_2796	3	64		Bartonella	Bartonella apis	nan, nan, nan,Bartonella, nan, nan,10478, 6964, 5294	Bartonella,prophage,unclassified,143808	Bartonella
contig_2052	16526	52	N	TRUE	virus	lytic	low quality draft	NA	NA	NA	NA	NA	None	181_0	Clustered	8	VC_181_0	8	0.5174	JAAOBB010000021.1,JAAOBB010000023.1,MN855962,MN856050,MN856062,contig_1749,contig_2052,contig_2796	3	64		Bartonella	Bartonella apis	nan, nan, nan,Bartonella, nan, nan,10478, 6964, 5294	Bartonella,prophage,unclassified,143808	Bartonella
contig_2796	19220	200	N	TRUE	virus	lytic	low quality draft	NA	NA	NA	NA	NA	None	181_0	Clustered	8	VC_181_0	8	0.5174	JAAOBB010000021.1,JAAOBB010000023.1,MN855962,MN856050,MN856062,contig_1749,contig_2052,contig_2796	3	64		Bartonella	Bartonella apis	nan, nan, nan,Bartonella, nan, nan,10478, 6964, 5294	Bartonella,prophage,unclassified,143808	Bartonella
contig_1976	32246	92	N	TRUE	virus	lytic	low quality draft	incomplete(40)	tail	43	30	PHAGE_Lister_B054_NC_009813(15),PHAGE_Lactob_LBR48_NC_027990(14),PHAGE_Deep_s_D6E_NC_019544(5),PHAGE_Rhizob_RHEph04_NC_041908(3),PHAGE_Psychr_pOW20_A_NC_020841(2),PHAGE_Rhizob_RHEph06_NC_027296(2),PHAGE_Aeromo_pAh6_C_NC_025459(2),PHAGE_Synech_S_CBS4_NC_016766(1),PHAGE_Strept_Sfi21_NC_000872(1),PHAGE_Erwini_phiEt88_NC_015295(1),PHAGE_Strept_Abc2_NC_013645(1),PHAGE_Lactob_phiadh_NC_000896(1),PHAGE_Edward_MSW_3_NC_020082(1),PHAGE_Cronob_CR9_NC_023717(1),PHAGE_Escher_C119_NC_042046(1),PHAGE_Escher_KP26_NC_042038(1),PHAGE_Entero_vB_EcoS_NBD2_NC_031050(1),PHAGE_Edward_PEi21_NC_021342(1),PHAGE_Halovi_HRTV_8_NC_021321(1),PHAGE_Lactob_LfeInf_NC_029058(1),PHAGE_Lister_P40_NC_011308(1),PHAGE_Lactob_LF1_NC_019486(1),PHAGE_Cronob_CR3_NC_017974(1),PHAGE_Acinet_YMC13/03/R2096_NC_027332(1),PHAGE_Xantho_vB_XveM_DIBBI_NC_017981(1)	None	23_0	Clustered	5	VC_23_0	5	0.2191	JAAOBB010000030.1,MN855673,MN855701,MN856069,contig_1976	3	46	Caudovirales	Lactobacillus kunkeei	NA	Mixed, Mixed, Mixed,nan, Lactobacillus, nan,47472, 30045, 23639	kunkeei,temperate,Caudovirales,115574	NA
contig_837	29057	156	N	TRUE	virus	lytic	low quality draft	NA	NA	NA	NA	NA	None	293_0	Clustered	3	VC_293_0	3	0.3245	JAAOBB010000161.1,MN855627,contig_837	3	28	Myoviridae		NA	Myoviridae,nan,7035	unknown,lytic,unclassified,24442	NA
