comp,mean_ident,mean_sim,cluster
JAAOBB010000114.1-JAAOBB010000115.1,0.7805,0.853,100_0
JAAOBB010000114.1-JAAOBB010000116.1,0.398,0.559,100_0
JAAOBB010000114.1-JAAOBB010000117.1,0.818666666666667,0.882,100_0
JAAOBB010000114.1-JAAOBB010000118.1,0.406666666666667,0.573333333333333,100_0
JAAOBB010000114.1-JAAOBB010000120.1,0.401111111111111,0.554444444444444,100_0
JAAOBB010000114.1-JAAOBB010000121.1,0.397,0.556,100_0
JAAOBB010000114.1-JAAOBB010000122.1,0.402222222222222,0.565555555555556,100_0
JAAOBB010000114.1-JAAOBB010000123.1,0.842307692307692,0.900769230769231,100_0
JAAOBB010000114.1-JAAOBB010000124.1,0.4,0.552222222222222,100_0
JAAOBB010000114.1-JAAOBB010000125.1,0.823846153846154,0.886923076923077,100_0
JAAOBB010000114.1-JAAOBB010000126.1,0.788947368421053,0.862105263157895,100_0
JAAOBB010000114.1-JAAOBB010000128.1,0.788125,0.8575,100_0
JAAOBB010000114.1-JAAOBB010000129.1,0.411111111111111,0.572222222222222,100_0
JAAOBB010000114.1-JAAOBB010000130.1,0.403,0.559,100_0
JAAOBB010000114.1-JAAOBB010000131.1,0.825789473684211,0.878947368421053,100_0
JAAOBB010000114.1-JAAOBB010000132.1,0.40625,0.57375,100_0
JAAOBB010000114.1-JAAOBB010000133.1,0.391,0.544,100_0
JAAOBB010000114.1-JAAOBB010000134.1,0.970909090909091,0.975,100_0
JAAOBB010000114.1-MN855676,0.402,0.56,100_0
JAAOBB010000114.1-scaffold_1970,0.682702702702703,0.714864864864865,100_0
JAAOBB010000115.1-JAAOBB010000116.1,0.413333333333333,0.566666666666667,100_0
JAAOBB010000115.1-JAAOBB010000117.1,0.839333333333333,0.896666666666667,100_0
JAAOBB010000115.1-JAAOBB010000118.1,0.411111111111111,0.563333333333333,100_0
JAAOBB010000115.1-JAAOBB010000120.1,0.4125,0.56625,100_0
JAAOBB010000115.1-JAAOBB010000121.1,0.405,0.555,100_0
JAAOBB010000115.1-JAAOBB010000122.1,0.4,0.551,100_0
JAAOBB010000115.1-JAAOBB010000123.1,0.849285714285714,0.900714285714286,100_0
JAAOBB010000115.1-JAAOBB010000124.1,0.41625,0.56875,100_0
JAAOBB010000115.1-JAAOBB010000125.1,0.86,0.915384615384615,100_0
JAAOBB010000115.1-JAAOBB010000126.1,0.955238095238095,0.973333333333333,100_0
JAAOBB010000115.1-JAAOBB010000128.1,0.932222222222222,0.952222222222222,100_0
JAAOBB010000115.1-JAAOBB010000129.1,0.414444444444444,0.568888888888889,100_0
JAAOBB010000115.1-JAAOBB010000130.1,0.409,0.558,100_0
JAAOBB010000115.1-JAAOBB010000131.1,0.829473684210526,0.887894736842105,100_0
JAAOBB010000115.1-JAAOBB010000132.1,0.41125,0.57625,100_0
JAAOBB010000115.1-JAAOBB010000133.1,0.411111111111111,0.556666666666667,100_0
JAAOBB010000115.1-JAAOBB010000134.1,0.76,0.8335,100_0
JAAOBB010000115.1-MN855676,0.415555555555556,0.571111111111111,100_0
JAAOBB010000115.1-scaffold_1970,0.640540540540541,0.691621621621622,100_0
JAAOBB010000116.1-JAAOBB010000117.1,0.4025,0.5625,100_0
JAAOBB010000116.1-JAAOBB010000118.1,0.761428571428571,0.836190476190476,100_0
JAAOBB010000116.1-JAAOBB010000120.1,0.833571428571429,0.886428571428571,100_0
JAAOBB010000116.1-JAAOBB010000121.1,0.773636363636364,0.840909090909091,100_0
JAAOBB010000116.1-JAAOBB010000122.1,0.6375,0.74625,100_0
JAAOBB010000116.1-JAAOBB010000123.1,0.421428571428571,0.578571428571429,100_0
JAAOBB010000116.1-JAAOBB010000124.1,0.93,0.956153846153846,100_0
JAAOBB010000116.1-JAAOBB010000125.1,0.414285714285714,0.577142857142857,100_0
