locus_tag	ftype	length_bp	gene	EC_number	COG	product
JJCCEPCG_00001	CDS	312				hypothetical protein
JJCCEPCG_00002	CDS	351				hypothetical protein
JJCCEPCG_00003	CDS	384				hypothetical protein
JJCCEPCG_00004	CDS	423				hypothetical protein
JJCCEPCG_00005	CDS	405				hypothetical protein
JJCCEPCG_00006	CDS	306				hypothetical protein
JJCCEPCG_00007	CDS	618				hypothetical protein
JJCCEPCG_00008	CDS	339				hypothetical protein
JJCCEPCG_00009	CDS	1209				hypothetical protein
JJCCEPCG_00010	CDS	321				hypothetical protein
JJCCEPCG_00011	CDS	921				hypothetical protein
JJCCEPCG_00012	CDS	660				hypothetical protein
JJCCEPCG_00013	CDS	1080				hypothetical protein
JJCCEPCG_00014	CDS	900				hypothetical protein
JJCCEPCG_00015	CDS	3057				hypothetical protein
JJCCEPCG_00016	CDS	375				hypothetical protein
JJCCEPCG_00017	CDS	423				hypothetical protein
JJCCEPCG_00018	CDS	636				hypothetical protein
JJCCEPCG_00019	CDS	462				hypothetical protein
JJCCEPCG_00020	CDS	327				hypothetical protein
JJCCEPCG_00021	CDS	396				hypothetical protein
JJCCEPCG_00022	CDS	696				hypothetical protein
